id;codice_comune;foglio;particella;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;meta_immobile;numero_immobili_per_catasto
2757678;B894;95;;260.0;TERRENO;ND;ND;44.8385147;7.6433997;Terreno agricolo;ND;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;False;1
420306;L219;1253;153;90.0;FABBRICATO;Piazza Enrico Toti;11;45.0725893;7.7168352;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;False;1
1065333;L219;87;;9764.0;TERRENO;Strada Eremo;1;45.0361922;7.7297687;Terreno boscato o con vegetazione di vario tipo;ND;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;False;1
2842876;H555;1;85;78.0;FABBRICATO;LOCALITA' JOUGLARD;snc;45.0467049;7.1078348;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Attività produttiva (industriale, artigianale o agricola);;;;False;1
264;L219;1182;343;2480.0;FABBRICATO;Lungo Dora Agrigento;94;45.0858433;7.6783862;Biblioteca, pinacoteca, museo, gallerie;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività artistica e culturale;;;;False;1
278;L219;1224;397;7660.0;FABBRICATO;corso racconigi;29;45.07144708;7.6472494;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
1115;L219;1186;167;70.0;FABBRICATO;Via Bioglio;30;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
1116;L219;1186;167;73.0;FABBRICATO;Via Bioglio;24;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
1129;L219;1245;55;3000.0;FABBRICATO;via s. domenico;9;45.0746886;7.6800884;Biblioteca, pinacoteca, museo, gallerie;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività artistica e culturale;;;;False;1
2331;L219;1399;6;465.2;FABBRICATO;Corso Galileo Ferraris;247;45.0412854;7.6552376;Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);Prima del 1919;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in concessione a titolo oneroso;18920.0;01/10/2020;False;1
2748;L219;1218;120;226.0;FABBRICATO;Via Carlo Ignazio Giulio;21;45.0774127;7.6775912;Magazzino e locali di deposito;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;False;1
2892;L219;120;396;4765.75;FABBRICATO;via nizza;395;45.017904;7.6622188;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
3439;L219;1281;B;1639.83;FABBRICATO;Via Accademia Albertina;11;45.0654592;7.6885606;Edificio di culto e assimilabili;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività di culto o assimilabili;;;;False;1
3464;L219;1111;299;108.0;FABBRICATO;via terraneo giovanni tommaso;1;45.09766737;7.64494121;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;False;1
3468;L219;1185;256;10000.0;FABBRICATO;via bologna;47;45.0832735;7.6950233;Ufficio strutturato ed assimilabili;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;False;1
3469;L219;1186;167;61.0;FABBRICATO;Via Bioglio;36;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
3898;L219;1301;349;9339.25;FABBRICATO;Via Cristoforo Colombo;36;45.05831817;7.66058969;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
4204;L219;1186;167;50.0;FABBRICATO;Via Bioglio;32;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
4779;L219;1217;204;138.0;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
5061;L219;1282;7;100.0;FABBRICATO;via roma;101 B;45.0687297;7.6835742;Magazzino e locali di deposito;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Non utilizzato;Non Dichiarato;;;;False;1
5062;L219;1289;724;3294.29;FABBRICATO;via limone;24;45.06204;7.6430462;Ufficio strutturato ed assimilabili;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
5094;L219;1217;204;140.0;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
5350;L219;1109;119;4315.0;FABBRICATO;Via Cardinal Massaia;113;45.1025828;7.6680988;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
5757;L219;1386;71;6842.0;FABBRICATO;Via Filadelfia;205;45.0439696;7.6378994;Ufficio strutturato ed assimilabili;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività artistica e culturale;;;;False;1
6230;L219;1282;171;10.0;FABBRICATO;via roma;247;45.0666246;7.6824582;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
6260;L219;1186;167;63.0;FABBRICATO;Via Bioglio;32;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
6655;L219;1308;3;2849.0;FABBRICATO;corso moncalieri;18;45.0595659;7.6943566;Impianto sportivo;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
6817;L219;1186;167;66.0;FABBRICATO;Via Bioglio;20;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
7267;L219;1161;166;987.5;FABBRICATO;via servais giovanni;62;45.0842325;7.6310376;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
7904;L219;1459;49;4317.25;FABBRICATO;corso croce benedetto;26;45.02074573;7.64416338;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
7948;L219;1245;157;7361.14;FABBRICATO;Via Giuseppe Barbaroux;32;45.0727492;7.6789317;Ufficio strutturato ed assimilabili;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in concessione a titolo oneroso;52.0;04/12/1984;False;1
8387;L219;1111;300;100.0;FABBRICATO;via val della torre;169;45.0971732;7.6449621;Abitazione;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;False;1
8411;L219;1282;55;10.0;FABBRICATO;via roma;247;45.0666246;7.6824582;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
8412;L219;1282;55;11.0;FABBRICATO;via roma;247;45.0666246;7.6824582;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
8901;L219;1282;55;10.0;FABBRICATO;via roma;247;45.0666246;7.6824582;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
9289;L219;1179;259;1134.25;FABBRICATO;via livorno;14;45.0835992;7.6678697;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
9296;L219;1355;75;606.0;FABBRICATO;Strada Comunale da San Vito a Revigliasco;65;45.0485998;7.6908539;Magazzino e locali di deposito;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;False;1
9305;L219;1399;210;8597.5;FABBRICATO;via montevideo;17;45.0366602;7.6543006;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
9799;L219;1282;55;10.0;FABBRICATO;via roma;247;45.0666246;7.6824582;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
9836;L219;1219;37;72.0;FABBRICATO;via s. agostino;15;45.0752932;7.6798428;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
10308;L219;1373;60;120.0;FABBRICATO;Corso Sicilia;23;45.0419937;7.6830466;Abitazione;Prima del 1919;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;False;1
10314;L219;1219;35;170.0;FABBRICATO;via s. chiara;9;45.0752932;7.6798428;Impianto sportivo;Dal 2001 al 2010;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;False;1
10768;L219;1281;149;256.0;FABBRICATO;Via Cavour;14;45.0639128;7.6901187;Ufficio strutturato ed assimilabili;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;False;1
10804;L219;1186;167;65.0;FABBRICATO;Via Giovanni Pacini;6;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
11881;L219;1282;171;10.0;FABBRICATO;via roma;247;45.0666246;7.6824582;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
11913;L219;1352;377;237.0;FABBRICATO;Via Pietro Giuria;56;45.0460512;7.6768958;Impianto sportivo;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;False;1
11920;L219;1213;13;23.0;FABBRICATO;Lungo Dora Firenze;51;45.07863;7.6908369;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;False;1
11936;L219;1443;647;72.0;FABBRICATO;corso traiano;143 A;45.0214049;7.6536208;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
11955;L219;1094;139;2337.5;FABBRICATO;Strada Comunale di Bertolla;50;45.0997236;7.7435053;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
12042;L219;41;358;2098.5;FABBRICATO;Via alla Chiesa;5;45.0899784;7.7138434;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;;Non Dichiarato;in concessione a titolo oneroso;4318.0;01/01/2010;False;1
12224;L219;1311;222;3435.6;FABBRICATO;Via Maria Bricca;9;45.0651255;7.7075967;Ospedali, case di cura, cliniche e assimilabili;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (residenziali);;;;False;1
12233;L219;1219;37;80.0;FABBRICATO;via s. agostino;15;45.0751377;7.6801036;Locale commerciale, negozio;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
12234;L219;1223;9;5000.0;FABBRICATO;corso francia;73;45.0747652;7.6544966;Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;in concessione a titolo oneroso;20402.0;01/01/2012;False;1
12263;L219;1059;322;178.0;FABBRICATO;Via Refrancore;28;45.10657368;7.65931293;Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Non utilizzato;Non Dichiarato;;;;False;1
12478;L219;1281;140;391.0;FABBRICATO;PIAZZALE FUSI VALDO;SNC;45.0646244;7.686777;Locale commerciale, negozio;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in concessione a titolo oneroso;8970.0;01/06/2007;False;1
12615;L219;1212;145;90.0;FABBRICATO;Via Carlo Michele Buscalioni;21;45.0763222;7.7011639;Impianto sportivo;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;False;1
12624;L219;1220;212;190.0;FABBRICATO;Via Cernaia;30;45.0723838;7.6726557;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
12942;L219;1245;132;4102.0;FABBRICATO;piazza palazzo di citta';1;45.0733744;7.680619;Ufficio strutturato ed assimilabili;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;False;1
13464;L219;1186;167;67.0;FABBRICATO;Via Bioglio;24;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
13478;L219;1257;134;322.0;FABBRICATO;via garelli federico;3;45.0713917;7.7269684;Magazzino e locali di deposito;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
14085;L219;1276;309;1171.25;FABBRICATO;via varallo;33;45.0713321;7.7128461;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
14393;L219;1207;438;402.0;FABBRICATO;Strada Alta di Mongreno;72;45.0767279;7.7382279;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
14602;L219;1402;172;483.8;FABBRICATO;via biglieri giulio;23;45.03433684;7.67188173;Ospedali, case di cura, cliniche e assimilabili;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
14929;L219;1174;599;7395.0;FABBRICATO;corso svizzera;53;45.0810057;7.6498672;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
14979;L219;1336;11;1049.0;FABBRICATO;PARCO VALENTINO;SNC;45.05471882;7.6878793;Impianto sportivo;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;False;1
15000;L219;1279;170;136.0;FABBRICATO;via vanchiglia;3;45.0666005;7.6963094;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;False;1
15206;L219;1145;38;47.0;FABBRICATO;via ghedini giorgio;21;45.0908662;7.7090707;Locale commerciale, negozio;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
15274;L219;1186;167;50.0;FABBRICATO;Via Bioglio;20;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
15291;L219;1217;204;138.0;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
15609;L219;1176;172;7022.0;FABBRICATO;via galvani luigi;7;45.0812754;7.6600871;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
15630;L219;1208;22;101.0;FABBRICATO;Viale Suor Giovanna Francesca Michelotti;262;45.0792516;7.727324;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;False;1
15762;L219;1082;266;3638.5;FABBRICATO;via scotellaro rocco;7;45.1063616;7.7004232;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
16133;L219;123;220;1518.0;FABBRICATO;via nuova;2;45.02966;7.68779;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
16187;L219;1186;167;66.0;FABBRICATO;Via Bioglio;30;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
16188;L219;1186;167;54.0;FABBRICATO;Via Giovanni Pacini;6;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
16213;L219;1228;117;5109.25;FABBRICATO;via marsigli luigi ferdinando;25;45.0705123;7.628937;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
16250;L219;1235;102;3394.5;FABBRICATO;Via Lorenzo Delleani;25;45.0671209;7.6341167;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;False;1
19833;L219;1311;146;310.2;FABBRICATO;via moncalvo;47;45.0646643;7.7079691;Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
20159;L219;1186;167;54.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
20229;L219;1222;347;4949.0;FABBRICATO;via palmieri pietro;56;45.0725604;7.6595633;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
20970;L219;1443;646;95.0;FABBRICATO;corso traiano;143 A;45.0214049;7.6536208;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
21163;L219;1176;172;4194.25;FABBRICATO;via le chiuse;80;45.0811779;7.6598264;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;False;1
22185;L219;1217;207;138.0;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
22354;L219;1217;207;138.0;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
