id;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;identificativo_catastale;tipologia_bene_immobile;altezza;superficie_di_riferimento_mq;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;zona_omi
2757678;TERRENO;ND;ND;44.8385147;7.6433997;Accatastato - B894::5:95:::;Terreno agricolo;Non Disponibile;260.0;ND;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;
420306;FABBRICATO;Piazza Enrico Toti;11;45.0725893;7.7168352;Accatastato - L219:::1253:153::3;Abitazione;3.0;90.0;Dal 1961 al 1970;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;
1065333;TERRENO;Strada Eremo;1;45.0361922;7.7297687;Accatastato - L219::1411:87:::;Terreno boscato o con vegetazione di vario tipo;Non Disponibile;9764.0;ND;Nessuno;Patrimonio disponibile;Non utilizzato;Non Dichiarato;;;;
2842876;FABBRICATO;LOCALITA' JOUGLARD;snc;45.0467049;7.1078348;Accatastato - H555:::1:85::3;Abitazione;Non Disponibile;78.0;Dal 1946 al 1960;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Attività produttiva (industriale, artigianale o agricola);;;;
264;FABBRICATO;Lungo Dora Agrigento;94;45.0858433;7.6783862;"Accatastato - L219:::1182:343::;L219:::1182:342::1";Biblioteca, pinacoteca, museo, gallerie;5.0;2480.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività artistica e culturale;;;;
278;FABBRICATO;corso racconigi;29;45.07144708;7.6472494;"Accatastato - L219:::1224:397::;L219:::1224:394::1";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;7660.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
1115;FABBRICATO;Via Bioglio;30;45.0872881;7.6974772;"Accatastato - L219:::1186:167::351;L219:::1186:167::86";Abitazione;Non Disponibile;70.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
1116;FABBRICATO;Via Bioglio;24;45.0872881;7.6974772;"Accatastato - L219:::1186:167::350;L219:::1186:167::68";Abitazione;Non Disponibile;73.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
1129;FABBRICATO;via s. domenico;9;45.0746886;7.6800884;"Accatastato - L219:::1245:55::8;L219:::1245:54::22";Biblioteca, pinacoteca, museo, gallerie;Non Disponibile;3000.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività artistica e culturale;;;;
2331;FABBRICATO;Corso Galileo Ferraris;247;45.0412854;7.6552376;"Accatastato - L219:::1399:6::7;L219:::1399:6::6;L219:::1399:6::5";Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);5.0;465.2;Prima del 1919;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in concessione a titolo oneroso;18920.0;01/10/2020;
2748;FABBRICATO;Via Carlo Ignazio Giulio;21;45.0774127;7.6775912;"Accatastato - L219:::1218:120::2;L219:::1218:119::4";Magazzino e locali di deposito;Non Disponibile;226.0;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;
2892;FABBRICATO;via nizza;395;45.017904;7.6622188;"Accatastato - L219:::120:396::1;L219:::120:397::2;L219:::120:395::1";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;4765.75;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
3439;FABBRICATO;Via Accademia Albertina;11;45.0654592;7.6885606;"Accatastato - L219:::1281:B::;L219:::1281:70::";Edificio di culto e assimilabili;6.0;1639.83;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività di culto o assimilabili;;;;
3464;FABBRICATO;via terraneo giovanni tommaso;1;45.09766737;7.64494121;"Accatastato - L219:::1111:299::3;L219:::1111:299::2";Abitazione;Non Disponibile;108.0;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;
3468;FABBRICATO;via bologna;47;45.0832735;7.6950233;"Accatastato - L219:::1185:256::6;L219:::1185:256::3";Ufficio strutturato ed assimilabili;Non Disponibile;10000.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;
3469;FABBRICATO;Via Bioglio;36;45.0872881;7.6974772;"Accatastato - L219:::1186:167::124;L219:::1186:167::355";Abitazione;Non Disponibile;61.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
3898;FABBRICATO;Via Cristoforo Colombo;36;45.05831817;7.66058969;"Accatastato - L219:::1301:349::6;L219:::1301:349::7;L219:::1301:349::8";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;9339.25;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
4204;FABBRICATO;Via Bioglio;32;45.0872881;7.6974772;"Accatastato - L219:::1186:167::105;L219:::1186:167::354";Abitazione;Non Disponibile;50.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
4779;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;"Accatastato - L219:::1217:204::10;L219:::1217:207::17";Abitazione;Non Disponibile;138.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
5061;FABBRICATO;via roma;101 B;45.0687297;7.6835742;"Accatastato - L219:::1282:7::102;L219:::1282:7::103";Magazzino e locali di deposito;Non Disponibile;100.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Non utilizzato;Non Dichiarato;;;;
5062;FABBRICATO;via limone;24;45.06204;7.6430462;"Accatastato - L219:::1289:724::5;L219:::1289:724::4;L219:::1289:724::3;L219:::1289:724::2;L219:::1289:724::1;L219:::1289:724::6";Ufficio strutturato ed assimilabili;3.5;3294.29;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
5094;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;"Accatastato - L219:::1217:204::12;L219:::1217:207::21";Abitazione;Non Disponibile;140.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
5350;FABBRICATO;Via Cardinal Massaia;113;45.1025828;7.6680988;"Accatastato - L219:::1109:119::5;L219:::1109:119::1";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;4315.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
5757;FABBRICATO;Via Filadelfia;205;45.0439696;7.6378994;"Accatastato - L219:::1386:71::1;L219:::1386:72::1";Ufficio strutturato ed assimilabili;3.5;6842.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività artistica e culturale;;;;
6230;FABBRICATO;via roma;247;45.0666246;7.6824582;"Accatastato - L219:::1282:171::220;L219:::1282:55::156";Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Non Disponibile;10.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
6260;FABBRICATO;Via Bioglio;32;45.0872881;7.6974772;"Accatastato - L219:::1186:167::106;L219:::1186:167::353";Abitazione;Non Disponibile;63.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
6655;FABBRICATO;corso moncalieri;18;45.0595659;7.6943566;"Accatastato - L219:::1308:3::2;L219:::1308:103::";Impianto sportivo;Non Disponibile;2849.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
6817;FABBRICATO;Via Bioglio;20;45.0872881;7.6974772;"Accatastato - L219:::1186:167::51;L219:::1186:167::347";Abitazione;Non Disponibile;66.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
7267;FABBRICATO;via servais giovanni;62;45.0842325;7.6310376;"Accatastato - L219:::1161:166::2;L219:::1161:166::4";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;987.5;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
