Popolazione maschile e femminile iscritta in anagrafe al 31 dicembre 2023 per zone urbanistiche e classi di età quinquennali,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Municipi,Zona urbanistiche Old,Classi quinquennali - maschi e femmine,,,,,,,,,,,,,,,,,,Totale
,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,oltre,
I,01A,462,615,850,969,921,1.024,1.261,1.403,1.484,1.755,2.054,2.181,1.873,1.529,1.292,1.283,1.080,1.091,23.127
,01B,251,407,530,521,497,597,758,808,877,985,1.091,1.179,1.037,900,779,685,533,533,12.968
,01C,220,290,309,350,397,416,425,447,522,621,699,774,758,610,462,394,330,455,8.479
,01D,193,237,296,257,265,355,427,399,491,578,650,681,592,503,410,371,333,356,7.394
,01E,852,1.039,1.244,1.409,1.308,1.500,1.723,2.110,2.433,2.689,2.865,2.974,2.592,2.071,1.852,1.566,1.231,1.357,32.815
,01F,171,244,323,326,352,423,477,494,581,651,788,782,652,528,461,464,427,478,8.622
,01G,88,118,159,159,167,168,154,227,230,260,337,370,297,249,216,216,177,182,3.774
,01X,11,12,12,21,15,21,30,55,59,73,65,72,71,54,29,31,27,34,692
,17A,407,562,662,710,743,689,739,784,1.024,1.200,1.407,1.568,1.358,1.239,1.128,1.017,869,943,17.049
,17B,627,889,1.155,1.227,1.085,1.094,1.156,1.154,1.330,1.795,2.213,2.266,2.071,1.686,1.543,1.434,1.250,1.462,25.437
,17C,543,616,734,669,690,861,1.017,1.065,1.254,1.399,1.538,1.525,1.419,1.211,1.018,1.014,917,1.085,18.575
,n.l.,40,55,48,44,95,589,777,784,527,370,305,233,204,183,123,63,32,16,4.488
,Totale municipio,3.865,5.084,6.322,6.662,6.535,7.737,8.944,9.730,10.812,12.376,14.012,14.605,12.924,10.763,9.313,8.538,7.206,7.992,163.420
II,02A,95,116,157,154,90,109,132,134,184,237,250,239,218,231,170,127,86,121,2.850
,02B,595,805,1.078,1.106,1.170,1.020,902,952,1.267,1.564,2.011,1.997,1.741,1.386,1.150,1.029,940,1.081,21.794
,02C,341,467,613,643,560,520,530,594,682,892,1.103,1.208,998,855,675,648,623,742,12.694
,02D,726,928,1.240,1.270,1.304,1.182,1.110,1.203,1.340,1.833,2.189,2.320,2.016,1.709,1.365,1.276,1.144,1.222,25.377
