file,unita,indirizzo,data_emissione,classe,epglnren,epglren,co2,superficie,vettore,serv_risc,serv_acs,serv_raf,serv_vent,serv_illu,serv_trasp,destinazione_uso_cod,oggetto_attestato_cod,tipologia_edilizia_cod,piano,codice_catastale,sezione,foglio,particella,subA,subDA,subalterno,anno_costruzione,lat,lon,coordinate_str,comune,zona_climatica,intervento_desc,intervento_classe_target,intervento_payback,qualita_invernale,qualita_estiva,fonti_rinnovabili,imp_risc_anno,imp_risc_desc,imp_risc_tipo,imp_risc_epnren,imp_acs_anno,imp_acs_desc,imp_acs_tipo,imp_acs_epnren,imp_raf_anno,imp_raf_desc,imp_raf_tipo,imp_raf_epnren,consumo_kwh_tot,tipologia_edilizia_str,ape_class_score,ape_system_score,ape_envelope_score,ape_renewables_score,ape_total_points,ape_score,kwh_per_sqm,energy_score,estimated_cost_year,cost_per_sqm_year
2019_102341_0009.xml,1,"Corso Sicilia, 40 - 10133 (TO)",2019-03-14,B,111.08,184.3,25.49,12964.75,Biomasse solide,True,True,False,False,True,True,1.0,0.0,9.0,,L219,,1405.0,5.0,1.0,1.0,,1980.0,45.0407,7.6813,"45.0407, 7.6813",Torino,E,				Coibentazione sottotetti,B,6.89,Triste,Triste,No,1996.0,Caldaia a cippato,Caldaia a cippato,60.93,1996.0,Caldaia a cippato,Caldaia a cippato,25.76,,,,,4155088.13,App. Condominio,4,4,1,2,11,2,320.49118802907884,37.0,1038772.0325,80.12279700726971
2019_106141_0019.xml,1,"Via Paolo della Cella, 3 - 10148 Torino",2019-04-04,E,285.9,7.69,58.33,5727.34,Gas naturale,True,True,True,False,True,True,1.0,0.0,9.0,4.0,L219,,1078.0,338.0,1.0,1.0,,1980.0,45.1049,7.6809,"45.1049, 7.6809",Torino,E,Sostituzione serramenti,D,21.88,Triste,Triste,No,2017.0,,Caldaia a condensazione,257.71,1998.0,,Boiler elettrico,0.33,2014.0,,Pompa di calore,0.83,1479205.84,App. Condominio,2,2,1,2,7,1,258.27100189616823,53.0,369801.46,64.56775047404206
2020_100235_0001.xml,1,Via Luigi Galvani 7,2020-02-25,D,243.18,7.78,74.57,5054.94,Teleriscaldamento,True,True,False,False,True,False,1.0,1.0,9.0,,L219,,1176.0,172.0,1.0,1.0,,1880.0,45.0809,7.6607,"45.0809, 7.6607",Torino,E,"Per gli interventi di efficientamento energetico dell'involucro edlizio, è possibile accedere agli incentivi statali previsti dal Conto Termico 2.0",D,37.0,Triste,Triste,No,2013.0,,Teleriscaldamento,212.05,2003.0,,Boiler elettrico,0.28,,,,,1211911.0,App. Condominio,3,2,1,2,8,1,239.74785061741585,58.0,302977.75,59.93696265435396
2020_102099_0155.xml,1,CORSO AGNELLI 105,2020-12-31,F,175.55,11.31,36.79,39.0,Teleriscaldamento,False,False,False,False,False,False,0.0,1.0,3.0,2.0,L219,=,1425.0,80.0,1.0,1.0,,1920.0,45.035815,7.644137,"45.035815, 7.6441370",Torino,E,isolamento perimetrale,E,10.0,Triste,Triste,No,2016.0,,Teleriscaldamento,128.64,2005.0,,31,46.91,,,,,4283.0,Ed. Plurifam.,1,2,1,2,6,1,109.82051282051282,73.0,1070.75,27.455128205128204
2020_102099_0166.xml,1,VIA BUSCALIONI 17,2020-12-31,F,269.06,2.97,54.25,49.8,Gas naturale,False,False,False,False,False,False,0.0,1.0,2.0,0.0,L219,=,1212.0,97.0,1.0,1.0,,1932.0,45.077291,7.700634,"45.077291, 7.7006340",Torino,E,isolamento perimetrale,E,10.0,Triste,Triste,No,2016.0,,Caldaia a condensazione,236.48,2000.0,,Caldaia standard,32.58,,,,,14568.96,N/D,1,2,1,2,6,1,292.5493975903614,4.0,3642.24,73.13734939759036
2021_102099_0005.xml,1,VIA DE CANAL 37,2020-12-31,G,360.05,0.87,72.14,75.7,Teleriscaldamento,False,False,False,False,False,False,0.0,1.0,3.0,0.0,L219,=,1426.0,357.0,1.0,1.0,,1968.0,45.034019,7.641197,"45.034019, 7.6411970",Torino,E,isolamento perimetrale,F,10.0,Triste,Triste,No,1998.0,,Teleriscaldamento,333.32,2005.0,,Caldaia standard,26.73,,,,,18910.24,Ed. Plurifam.,1,2,1,2,6,1,249.80501981505947,12.0,4727.56,62.45125495376487
2021_106141_0054.xml,1,"Via Nichelino,7 - 10135 Torino",2021-12-30,D,222.25,9.86,73.06,7100.29,Teleriscaldamento,True,True,False,False,True,False,1.0,0.0,9.0,,L219,,1461.0,45.0,1.0,1.0,,1964.0,45.0235,7.6386,"45.0235, 7.6386",Torino,E,Coibentazione solaio confinante verso ambiente non climatizzato,C,11.1,Triste,Triste,No,1997.0,,Teleriscaldamento,181.33,2010.0,,Boiler elettrico,0.37,,,,,1649590.0,App. Condominio,3,2,1,2,8,1,232.32713030031167,60.0,412397.5,58.081782575077916
2021_106467_0058.xml,1,VIA BOTTICELLI 150,2021-11-29,F,229.5,2.8,46.32,58.0,Gas naturale,False,False,False,False,False,False,0.0,1.0,6.0,0.0,L219,,1133.0,11.0,1.0,1.0,,1950.0,45.1167,7.7167,"45.1167, 7.7167",TORINO,E,				Sostituzione componenti finestrati,F,14.0,Triste,Triste,No,2016.0,,Caldaia a condensazione,207.16,2010.0,,Caldaia standard,22.34,,,,,13004.815799999998,N/D,1,2,1,2,6,1,224.2209620689655,20.0,3251.2039499999996,56.05524051724137
2021_113373_0002.xml,1,Sansovino 98/46,2019-10-23,G,404.93,22.68,82.09,36.71,Teleriscaldamento,False,False,False,False,False,False,0.0,1.0,3.0,1.0,L219,,1073.0,7.0,1.0,1.0,,1960.0,45.05779,7.68041,"45.05779, 7.68041",Torino,E,Data sopralluogo: 02/02/2021,G,23.0,Triste,Triste,No,1983.0,,Teleriscaldamento,310.82,2020.0,,Riscaldamento elettrico,94.11,,,,,12637.48,Ed. Plurifam.,1,2,1,2,6,1,344.2517025333696,0.0,3159.37,86.0629256333424
2022_102099_0001.xml,1,CORSO FERRARA 50 A,2020-12-31,G,343.75,78.4,80.43,182.8,Energia elettrica da rete,False,False,False,False,False,False,0.0,1.0,2.0,0.0,L219,,1065.0,26.0,1.0,1.0,,1969.0,45.108918,7.624718,"45.108918, 7.6247180",Torino,E,ISOLAMENTO PERIMETRALE,F,10.0,Triste,Triste,No,2015.0,,Teleriscaldamento,323.7,2006.0,,Caldaia standard,20.05,,,,,34260.26,N/D,1,2,1,2,6,1,187.41936542669583,36.0,8565.065,46.85484135667396
2022_102099_0003.xml,1,CORSO FERRARA 50 B,2020-12-31,G,409.31,98.66,96.56,70.0,Energia elettrica da rete,False,False,False,False,False,False,0.0,1.0,2.0,0.0,L219,,1065.0,24.0,1.0,1.0,,1969.0,45.108918,7.624718,"45.108918, 7.6247180",Torino,E,ISOLAMENTO PERIMETRALE,F,10.0,Triste,Triste,No,2015.0,,Teleriscaldamento,361.35,2006.0,,31,47.96,,,,,14693.0,N/D,1,2,1,2,6,1,209.9,26.0,3673.25,52.475
2022_102099_0007.xml,1,CORSO FERRARA 50 C,2020-12-31,G,456.41,103.31,106.67,57.4,Energia elettrica da rete,False,False,False,False,False,False,0.0,1.0,2.0,0.0,L219,,1065.0,25.0,1.0,1.0,,1969.0,45.108918,7.624718,"45.108918, 7.6247180",Torino,E,ISOLAMENTO PERIMETRALE,F,10.0,Triste,Triste,No,2015.0,,Teleriscaldamento,424.06,2006.0,,Caldaia standard,32.35,,,,,14396.26,N/D,1,2,1,2,6,1,250.80592334494776,12.0,3599.065,62.70148083623694
2022_103915_0001.xml,1,Via Santhià 76,2022-01-17,F,424.21,7.3,85.93,3520.54,Gas naturale,True,True,False,False,True,True,1.0,0.0,3.0,0.0,L219,,1146.0,12.0,1.0,1.0,,1966.0,45.0944,7.6994,"45.0944, 7.6994",Torino,E,				Isolamento solai verso sottotetto,E,3.0,Triste,Triste,No,2007.0,,Caldaia standard,401.36,1990.0,,Boiler elettrico,1.5,,,,,1375505.02,Ed. Plurifam.,1,2,1,2,6,1,390.7085333499975,21.0,343876.255,97.67713333749937
2019_102902_0017.xml,10,Salita Michelangelo Garove 24,2019-09-12,C,320.17,76.94,145.14,128.0,Energia elettrica da rete,True,True,True,True,True,False,1.0,1.0,6.0,2.0,L219,,1153.0,130.0,10.0,10.0,,2002.0,45.1167,7.7167,"45.1167, 7.7167",Torino,E,4Relampingfalse3.3C274.06C274.06,C,3.3,Triste,Basita/o,No,2002.0,UNICAL TRISTAR 1650,Caldaia standard,4.17,2002.0,Generatore a energia elettrica_2,Boiler elettrico,0.0,2002.0,TRANE RTHC E3,Pompa di calore,0.54,21080.22,N/D,3,2,1,2,8,1,164.68921875,76.0,5270.055,41.1723046875
2019_109523_0024.xml,10,Corso Taranto 159/1,2019-10-05,E,357.33,0.43,70.39,52.05,Gas naturale,False,False,False,False,False,False,0.0,1.0,3.0,4.0,L219,,1133.0,14.0,10.0,10.0,,1965.0,45.0957393930059,7.71331183998109,"45.0957393930059, 7.71331183998109",Torino,E,0parete esterna08D322.630solaio05D271.93C238.1,D,8.0,Triste,Triste,No,2016.0,,Caldaia a condensazione,303.71,1998.0,,Scalda-acqua a gas,53.62,,,,,18586.2888,Ed. Plurifam.,2,2,1,2,7,1,357.0852795389049,0.0,4646.5722,89.27131988472622
2020_102099_0137.xml,10,c.so Lecce 64,2020-10-26,F,108.78,22.02,22.84,58.54,Energia elettrica da rete,False,False,False,False,False,False,0.0,1.0,3.0,4.0,L219,,1173.0,331.0,10.0,10.0,,1980.0,0.0,0.0,"0.000000, 0.000000",Torino,E,Data del sopralluogo: 13,E,21.0,Triste,Basita/o,No,2000.0,Caldaia a condensazione,Caldaia a condensazione,17.44,2000.0,Boiler elettrico,Boiler elettrico,91.34,,,,,3765.82,Ed. Plurifam.,1,4,1,2,8,1,64.32900580799453,88.0,941.455,16.082251451998633
2020_113184_0017.xml,10,via Guala 95_97 viaSidoli34_36_TO,2020-12-03,E,142.78,0.49,45.16,75.1,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,3.0,4.0,L219,,1441.0,88.0,10.0,10.0,,1993.0,45.025,7.6444,"45.0250, 7.6444",Torino,E,isolamento parete esterna,D,2.98,Triste,Triste,No,1997.0,,Teleriscaldamento,123.31,1997.0,,Teleriscaldamento,19.47,,,,,11264.0,Ed. Plurifam.,2,2,1,2,7,1,149.98668442077232,55.0,2816.0,37.49667110519308
2020_212489_0024.xml,10,via bonfante 6,2020-07-07,F,208.5,0.0,41.7,68.48,Teleriscaldamento,False,False,False,False,False,False,0.0,1.0,6.0,2.0,L219,,1391.0,23.0,10.0,10.0,,1971.0,45.0667,7.6667,"45.0667, 7.6667",TORINO,E,				installazione caldaia a condensazione,E,8.0,Triste,Triste,No,2016.0,,Teleriscaldamento,156.33,2010.0,,Boiler elettrico,52.17,,,,,10716.2152,N/D,1,2,1,2,6,1,156.48678738317756,51.0,2679.0538,39.12169684579439
2020_212533_0064.xml,10,Viale dei Mughetti 29bis,2020-03-02,D,78.53,0.0,29.4,46.97,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,2.0,1.0,L219,0,1069.0,150.0,10.0,10.0,,1965.0,45.1039417,7.6264605,"45.1039417, 7.6264605",TORINO,E,0Coibentazione pareti freddefalse1B57.48B57.48,B,1.0,Triste,Triste,No,2000.0,PRINCIPALE,Teleriscaldamento,47.91,2000.0,ACS,Scalda-acqua a gas,30.62,,,,,5040.3,N/D,3,2,1,2,8,1,107.30892058760912,74.0,1260.075,26.82723014690228
2020_212533_0271.xml,10,Via Andrea Sansovino 92,2020-11-17,F,157.21,0.0,69.84,38.19,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,7.0,0.0,L219,0,1073.0,6.0,10.0,10.0,,1958.0,45.102293,7.6420417,"45.102293, 7.6420417",TORINO,E,0soletta freddafalse1E129.88E129.88,E,1.0,Triste,Triste,No,2005.0,PRINCIPALE,Teleriscaldamento,132.0,2000.0,acs gas,Scalda-acqua a gas,25.21,,,,,9017.18,N/D,1,2,1,2,6,1,236.1136423147421,16.0,2254.295,59.02841057868552
2021_102099_0013.xml,10,CORSO ORBASSANO 455,2021-12-31,F,256.38,1.78,51.54,79.3,Gas naturale,False,False,False,False,False,False,0.0,1.0,3.0,0.0,L219,=,1436.0,4.0,10.0,10.0,,1920.0,45.030674,7.610872,"45.030674, 7.6108720",Torino,E,isolamento perimetrale,D,10.0,Triste,Basita/o,No,2017.0,,Caldaia a condensazione,216.74,1995.0,,Caldaia standard,39.64,,,,,22308.16,Ed. Plurifam.,1,2,1,2,6,1,281.31349306431275,6.0,5577.04,70.32837326607819
2021_106141_0034.xml,10,via buscalioni 17,2021-12-27,F,141.08,10.55,29.79,66.64,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,2.0,L219,,1212.0,97.0,10.0,10.0,,1940.0,45.0767,7.701,"45.0767, 7.7010",Torino,E,Sostituzione serramenti,E,22.55,Triste,Triste,No,2016.0,,Caldaia a condensazione,101.55,2015.0,Caldaia elettrica,Caldaia elettrica,39.53,,,,,7667.74,Ed. Plurifam.,1,2,1,2,6,1,115.06212484993998,71.0,1916.935,28.765531212484994
2021_113184_0067.xml,10,via Fratelli Garrone 61/76A-F,2021-11-11,F,123.55,2.57,23.98,72.38,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,3.0,4.0,L219,,1488.0,78.0,10.0,10.0,,1966.0,45.0109,7.6506,"45.0109, 7.6506",Torino,E,coibentazione cassonetto,F,0.64,Triste,Triste,No,1996.0,,Teleriscaldamento,67.15,2019.0,,Caldaia standard,56.4,,,,,9251.98,Ed. Plurifam.,1,2,1,2,6,1,127.82508980381321,66.0,2312.995,31.956272450953303
