id;codice_comune;foglio;particella;subalterno;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;id_list;meta_immobile;lista_file_ape;classe_energetica_ape;epglnren_ape;classe_target_ape;list_file_ape_filtered;coordinate_ds_coerenti;list_file_ape_validated;fonte_coordinate_usata;list_file_ape_validated_norm;plot_filename;id_left;zona_omi
3107623;L219;1013;136;;5444.0;FABBRICATO;Via degli Abeti;13;45.1312655;7.7090528;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;3;[683279, 683280, 683281];True;['2020_101416_0019.xml'];A1;119.03;A4;['2020_101416_0019.xml'];True;['2020_101416_0019.xml'];originali;('2020_101416_0019.xml',);ape_summary_af6cfcc9132e.html;3107623;D22
3107636;L219;1043;10;;933.0;FABBRICATO;corso vercelli;491 13;45.1201654;7.7099907;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[687257, 687258, 687259, 687260, 687261, 687267, 687268, 687269, 687270, 687271, 2667997, 2667999, 2668004];True;['2019_102351_0142.xml', '2019_102351_0143.xml', '2021_313821_0080.xml'];C;112.85;A1;['2019_102351_0142.xml', '2019_102351_0143.xml', '2021_313821_0080.xml'];False;['2021_313821_0080.xml'];originali;('2019_102351_0142.xml', '2019_102351_0143.xml', '2021_313821_0080.xml');ape_summary_30fbaefbb650.html;3107636;D22
3107637;L219;1043;12;;846.0;FABBRICATO;corso vercelli;483 9;45.119656;7.7092692;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;14;[687349, 687350, 687353, 687354, 687355, 687356, 687357, 687358, 687359, 687360, 687361, 687362, 687363, 2668401];True;['2019_312661_0144.xml', '2019_312661_0145.xml'];C;84.17;C;['2019_312661_0144.xml', '2019_312661_0145.xml'];True;['2019_312661_0144.xml', '2019_312661_0145.xml'];originali;('2019_312661_0144.xml', '2019_312661_0145.xml');ape_summary_a808b314c391.html;3107637;D22
3107638;L219;1043;13;;926.0;FABBRICATO;corso vercelli;487 10;45.1197849;7.7097167;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[687364, 687365, 687366, 687367, 687368, 687369, 687372, 687375, 687376, 687379, 2667343, 2667344, 2667346];True;['2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml'];C;77.59;A1;['2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml'];True;['2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml'];originali;('2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml');ape_summary_cda046821f98.html;3107638;D22
3107639;L219;1043;14;;927.0;FABBRICATO;corso vercelli;491 11;45.1199126;7.7101329;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[687422, 687423, 687426, 687427, 687428, 687429, 687430, 687435, 687436, 687437, 2667349, 2667351, 2667354];True;['2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml'];B;113.65;A1;['2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml'];True;['2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml'];originali;('2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml');ape_summary_53e5133b0ac7.html;3107639;D22
3107640;L219;1043;18;;924.0;FABBRICATO;corso vercelli;483 6;45.119419;7.7094427;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[687439, 687440, 687443, 687444, 687445, 687446, 687449, 687450, 2667296, 2667297, 2667298, 2667303, 2667306];True;['2019_102351_0147.xml', '2019_102351_0148.xml', '2021_313821_0081.xml', '2021_313821_0082.xml'];C;86.26;A1;['2019_102351_0147.xml', '2019_102351_0148.xml', '2021_313821_0081.xml', '2021_313821_0082.xml'];True;['2021_313821_0081.xml', '2021_313821_0082.xml'];originali;('2019_102351_0147.xml', '2019_102351_0148.xml', '2021_313821_0081.xml', '2021_313821_0082.xml');ape_summary_e49e134657d1.html;3107640;D22
3107642;L219;1043;20;;922.0;FABBRICATO;corso vercelli;491 8;45.1196739;7.7103112;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[686361, 686362, 686365, 686366, 686367, 686368, 686369, 686372, 686373, 686376, 2667325, 2667328, 2667330];True;['2019_102351_0131.xml', '2019_102351_0132.xml', '2019_102351_0133.xml', '2021_313821_0084.xml'];C;120.64;B;['2019_102351_0131.xml', '2019_102351_0132.xml', '2019_102351_0133.xml', '2021_313821_0084.xml'];True;['2019_102351_0131.xml', '2019_102351_0132.xml', '2019_102351_0133.xml'];originali;('2019_102351_0131.xml', '2019_102351_0132.xml', '2019_102351_0133.xml', '2021_313821_0084.xml');ape_summary_ca59db81887b.html;3107642;D22
3107645;L219;1043;37;;929.0;FABBRICATO;corso vercelli;491 5;45.1194406;7.7104328;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[686408, 686409, 686410, 686411, 686412, 686413, 686414, 686418, 686419, 686422, 2667234, 2667238, 2667246];True;['2019_102351_0129.xml', '2019_102351_0130.xml', '2021_313821_0073.xml', '2021_313821_0097.xml', '2022_313821_0069.xml'];A1;58.21;A3;['2019_102351_0129.xml', '2019_102351_0130.xml', '2021_313821_0073.xml', '2021_313821_0097.xml', '2022_313821_0069.xml'];True;['2019_102351_0129.xml', '2019_102351_0130.xml'];originali;('2019_102351_0129.xml', '2019_102351_0130.xml', '2021_313821_0073.xml', '2021_313821_0097.xml', '2022_313821_0069.xml');ape_summary_44f54df48408.html;3107645;D22
3107647;L219;1043;40;;887.0;FABBRICATO;corso vercelli;487 2;45.1190395;7.7101843;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;14;[686477, 686478, 686479, 686480, 686481, 686482, 686483, 686484, 686485, 686490, 686491, 686492, 2667034, 2667037];True;['2019_102351_0144.xml', '2019_102351_0145.xml', '2021_313821_0083.xml', '2022_113181_0020.xml'];C;80.15;C;['2019_102351_0144.xml', '2019_102351_0145.xml', '2021_313821_0083.xml', '2022_113181_0020.xml'];True;['2019_102351_0144.xml', '2019_102351_0145.xml', '2021_313821_0083.xml', '2022_113181_0020.xml'];originali;('2019_102351_0144.xml', '2019_102351_0145.xml', '2021_313821_0083.xml', '2022_113181_0020.xml');ape_summary_5f759814c7c5.html;3107647;D22
3107648;L219;1043;41;;924.0;FABBRICATO;corso vercelli;491 3;45.1191776;7.7105979;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[686570, 686571, 686572, 686573, 686574, 686575, 686576, 686580, 686581, 686584, 2667016, 2667022, 2667026];True;['2019_102351_0140.xml', '2019_102351_0141.xml', '2021_313821_0072.xml'];B;83.9;A2;['2019_102351_0140.xml', '2019_102351_0141.xml', '2021_313821_0072.xml'];True;['2019_102351_0140.xml', '2019_102351_0141.xml', '2021_313821_0072.xml'];originali;('2019_102351_0140.xml', '2019_102351_0141.xml', '2021_313821_0072.xml');ape_summary_5dc2f5535ae8.html;3107648;D22
