id;codice_comune;foglio;particella;subalterno;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;id_list;meta_immobile;lista_file_ape;classe_energetica_ape;epglnren_ape;classe_target_ape;list_file_ape_filtered;coordinate_ds_coerenti;list_file_ape_validated;fonte_coordinate_usata;list_file_ape_validated_norm;plot_filename;id_left;zona_omi;id_list_formatted;ape_score_classe;ape_score_impianto;ape_score_involucro;ape_score_rinnovabili;ape_score_total;sanita;mobilita;verde;sport;commerciale;educazione
3107622;L219;1009;180;;3480.0;FABBRICATO;Strada Comunale del Villaretto;187;45.1306589;7.6848438;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;45;[685999, 686000, 686001, 686002, 686003, 686004, 686005, 686006, 686007, 686008, 686009, 686010, 686011, 686012, 686013, 686014, 686015, 686016, 686017, 686018, 686019, 686020, 686021, 686022, 686023, 686024, 686025, 686026, 686027, 686028, 686029, 686030, 686031, 686032, 686033, 686034, 686035, 686036, 686037, 686038, 686039, 686040, 686041, 686042, 686061];True;[];;;;[];False;[];originali;();;3107622;D22;['ID: 685999, MQ: 81.0, TIPO: Abitazione', 'ID: 686000, MQ: 79.0, TIPO: Abitazione', 'ID: 686001, MQ: 84.0, TIPO: Abitazione', 'ID: 686002, MQ: 83.0, TIPO: Abitazione', 'ID: 686003, MQ: 83.0, TIPO: Abitazione', 'ID: 686004, MQ: 77.0, TIPO: Abitazione', 'ID: 686005, MQ: 74.0, TIPO: Abitazione', 'ID: 686006, MQ: 92.0, TIPO: Abitazione', 'ID: 686007, MQ: 75.0, TIPO: Abitazione', 'ID: 686008, MQ: 80.0, TIPO: Abitazione', 'ID: 686009, MQ: 74.0, TIPO: Abitazione', 'ID: 686010, MQ: 77.0, TIPO: Abitazione', 'ID: 686011, MQ: 72.0, TIPO: Abitazione', 'ID: 686012, MQ: 92.0, TIPO: Abitazione', 'ID: 686013, MQ: 101.0, TIPO: Abitazione', 'ID: 686014, MQ: 80.0, TIPO: Abitazione', 'ID: 686015, MQ: 65.0, TIPO: Abitazione', 'ID: 686016, MQ: 91.0, TIPO: Abitazione', 'ID: 686017, MQ: 92.0, TIPO: Abitazione', 'ID: 686018, MQ: 106.0, TIPO: Abitazione', 'ID: 686019, MQ: 65.0, TIPO: Abitazione', 'ID: 686020, MQ: 75.0, TIPO: Abitazione', 'ID: 686021, MQ: 77.0, TIPO: Abitazione', 'ID: 686022, MQ: 72.0, TIPO: Abitazione', 'ID: 686023, MQ: 92.0, TIPO: Abitazione', 'ID: 686024, MQ: 103.0, TIPO: Abitazione', 'ID: 686025, MQ: 81.0, TIPO: Abitazione', 'ID: 686026, MQ: 64.0, TIPO: Abitazione', 'ID: 686027, MQ: 91.0, TIPO: Abitazione', 'ID: 686028, MQ: 92.0, TIPO: Abitazione', 'ID: 686029, MQ: 107.0, TIPO: Abitazione', 'ID: 686030, MQ: 64.0, TIPO: Abitazione', 'ID: 686031, MQ: 64.0, TIPO: Abitazione', 'ID: 686032, MQ: 63.0, TIPO: Abitazione', 'ID: 686033, MQ: 57.0, TIPO: Abitazione', 'ID: 686034, MQ: 84.0, TIPO: Abitazione', 'ID: 686035, MQ: 62.0, TIPO: Abitazione', 'ID: 686036, MQ: 82.0, TIPO: Abitazione', 'ID: 686037, MQ: 59.0, TIPO: Abitazione', 'ID: 686038, MQ: 75.0, TIPO: Abitazione', 'ID: 686039, MQ: 74.0, TIPO: Abitazione', 'ID: 686040, MQ: 81.0, TIPO: Abitazione', 'ID: 686041, MQ: 61.0, TIPO: Abitazione', 'ID: 686042, MQ: 38.0, TIPO: Parcheggio collettivo', 'ID: 686061, MQ: 39.0, TIPO: Parcheggio collettivo'];;;;;;1.0;1.0;1.0;1.0;2.0;1.0
3107623;L219;1013;136;;5444.0;FABBRICATO;Via degli Abeti;13;45.1312655;7.7090528;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;3;[683279, 683280, 683281];True;['2020_101416_0019.xml'];A1;119.03;A4;['2020_101416_0019.xml'];True;['2020_101416_0019.xml'];originali;('2020_101416_0019.xml',);ape_summary_af6cfcc9132e.html;3107623;D22;['ID: 683279, MQ: 5123.0, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)', 'ID: 683280, MQ: 186.0, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)', 'ID: 683281, MQ: 135.0, TIPO: Abitazione'];5.0;1.0;3.0;1.0;2.5;2.0;3.0;2.0;2.0;3.0;2.0
3107624;L219;1013;137;;690.0;FABBRICATO;Via delle Querce;23;45.1304989;7.7075375;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;3;[683282, 683283, 683284];True;[];;;;[];True;[];originali;();;3107624;D22;['ID: 683282, MQ: 312.0, TIPO: Fabbricato per attività produttiva (industriale, artigianale o agricola)', 'ID: 683283, MQ: 291.0, TIPO: Impianto sportivo', 'ID: 683284, MQ: 87.0, TIPO: Abitazione'];;;;;;2.0;2.0;2.0;2.0;3.0;2.0
3107625;L219;1013;35;;1355.25;FABBRICATO;Via degli Abeti;15;45.1310566;7.7099316;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;in concessione a titolo oneroso;5512.0;01/12/2013;2;[683288, 683289];True;[];;;;[];True;[];originali;();;3107625;D22;['ID: 683288, MQ: 102.0, TIPO: Abitazione', 'ID: 683289, MQ: 1253.25, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)'];;;;;;1.0;1.0;1.0;1.0;1.0;1.0
3107626;L219;1016;39;;302.0;FABBRICATO;VIA DEGLI ULIVI;49E;45.129511;7.7168342;Locale commerciale, negozio;Dopo il 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;[2787467, 2787468];True;['2021_108783_0001.xml'];A4;28.36;A4;['2021_108783_0001.xml'];;[];originali;('2021_108783_0001.xml',);ape_summary_ec9fca2bf74f.html;3107626;D22;['ID: 2787467, MQ: 281.0, TIPO: Locale commerciale, negozio', 'ID: 2787468, MQ: 21.0, TIPO: Magazzino e locali di deposito'];5.0;1.0;5.0;5.0;4.0;1.0;3.0;1.0;1.0;2.0;1.0
3107627;L219;1024;56;;1009.42;FABBRICATO;PIAZZA ASTENGO GIOVANNI;10;45.1271572;7.7097132;Ufficio strutturato ed assimilabili;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;[2674974, 2674975];True;[];;;;[];True;[];originali;();;3107627;D22;['ID: 2674974, MQ: 775.71, TIPO: Ufficio strutturato ed assimilabili', 'ID: 2674975, MQ: 233.71, TIPO: Ufficio strutturato ed assimilabili'];;;;;;2.0;2.0;2.0;2.0;3.0;2.0
3107628;L219;1024;65;;3851.0;FABBRICATO;Via dei Pioppi;43;45.1264153;7.7124527;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività artistica e culturale;;;;2;[683465, 683466];True;[];;;;[];True;[];originali;();;3107628;D22;['ID: 683465, MQ: 2246.75, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)', 'ID: 683466, MQ: 1604.25, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)'];;;;;;2.0;2.0;2.0;2.0;3.0;2.0
3107629;L219;1026;37;;2298.75;FABBRICATO;Strada Cuorgnè;109;45.1260897;7.7006839;Abitazione;Prima del 1919;Nessuno;Demanio;Utilizzato direttamente;Attività didattica;;;;6;[683470, 683471, 683472, 683473, 683474, 683475];True;[];;;;[];True;[];originali;();;3107629;D22;['ID: 683470, MQ: 592.0, TIPO: Magazzino e locali di deposito', 'ID: 683471, MQ: 147.0, TIPO: Abitazione', 'ID: 683472, MQ: 113.0, TIPO: Abitazione', 'ID: 683473, MQ: 323.0, TIPO: Magazzino e locali di deposito', 'ID: 683474, MQ: 887.5, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)', 'ID: 683475, MQ: 236.25, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)'];;;;;;2.0;2.0;2.0;2.0;3.0;2.0
3107630;L219;1027;143;;1328.2800000000002;FABBRICATO;Strada Cuorgnè;81;45.1234107;7.7033776;Ufficio strutturato ed assimilabili;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;[683534, 683535];True;[];;;;[];True;[];originali;();;3107630;D22;['ID: 683534, MQ: 626.57, TIPO: Ufficio strutturato ed assimilabili', 'ID: 683535, MQ: 701.71, TIPO: Ufficio strutturato ed assimilabili'];;;;;;2.0;3.0;2.0;2.0;3.0;2.0
3107631;L219;1033;14;;176.0;FABBRICATO;Strada Bellacomba;138;45.1247425;7.672253;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;[24506, 25122];True;[];;;;[];True;[];originali;();;3107631;D22;['ID: 24506, MQ: 76.0, TIPO: Abitazione', 'ID: 25122, MQ: 100.0, TIPO: Fabbricato per attività produttiva (industriale, artigianale o agricola)'];;;;;;2.0;2.0;2.0;2.0;2.0;2.0
3107632;L219;1033;17;;176.0;FABBRICATO;Strada Bellacomba;138;45.1247425;7.672253;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;[24506, 25122];True;[];;;;[];True;[];originali;();;3107632;D22;['ID: 24506, MQ: 76.0, TIPO: Abitazione', 'ID: 25122, MQ: 100.0, TIPO: Fabbricato per attività produttiva (industriale, artigianale o agricola)'];;;;;;2.0;3.0;2.0;2.0;3.0;2.0
3107633;L219;1033;20;;369.0;FABBRICATO;Strada Bellacomba;138;45.1245559;7.6715423;Fabbricato per attività produttiva (industriale, artigianale o agricola);Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;4;[683715, 683716, 683717, 683718];True;[];;;;[];True;[];originali;();;3107633;D22;['ID: 683715, MQ: 165.0, TIPO: Magazzino e locali di deposito', 'ID: 683716, MQ: 62.0, TIPO: Fabbricato per attività produttiva (industriale, artigianale o agricola)', 'ID: 683717, MQ: 60.0, TIPO: Magazzino e locali di deposito', 'ID: 683718, MQ: 82.0, TIPO: Fabbricato per attività produttiva (industriale, artigianale o agricola)'];;;;;;2.0;2.0;2.0;2.0;3.0;2.0
3107634;L219;1036;99;;4568.5;FABBRICATO;Via Giovanni de Stefanis;20;45.1175901;7.6534828;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;[686313, 686314];True;[];;;;[];;[];originali;();;3107634;D22;['ID: 686313, MQ: 4486.5, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)', 'ID: 686314, MQ: 82.0, TIPO: Abitazione'];;;;;;2.0;3.0;2.0;2.0;3.0;2.0
3107635;L219;1037;132;;2104.0;FABBRICATO;STRADA PROV. DI LANZO;146;45.1177993;7.6586549;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;[686315, 686316];True;[];;;;[];;[];originali;();;3107635;D22;['ID: 686315, MQ: 2018.0, TIPO: Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione)', 'ID: 686316, MQ: 86.0, TIPO: Abitazione'];;;;;;3.0;3.0;3.0;3.0;4.0;3.0
3107636;L219;1043;10;;933.0;FABBRICATO;corso vercelli;491 13;45.1201654;7.7099907;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[687257, 687258, 687259, 687260, 687261, 687267, 687268, 687269, 687270, 687271, 2667997, 2667999, 2668004];True;['2019_102351_0142.xml', '2019_102351_0143.xml', '2021_313821_0080.xml'];C;112.85;A1;['2019_102351_0142.xml', '2019_102351_0143.xml', '2021_313821_0080.xml'];False;['2021_313821_0080.xml'];originali;('2019_102351_0142.xml', '2019_102351_0143.xml', '2021_313821_0080.xml');ape_summary_30fbaefbb650.html;3107636;D22;['ID: 687257, MQ: 78.0, TIPO: Abitazione', 'ID: 687258, MQ: 51.0, TIPO: Abitazione', 'ID: 687259, MQ: 54.0, TIPO: Abitazione', 'ID: 687260, MQ: 52.0, TIPO: Abitazione', 'ID: 687261, MQ: 79.0, TIPO: Abitazione', 'ID: 687267, MQ: 51.0, TIPO: Abitazione', 'ID: 687268, MQ: 77.0, TIPO: Abitazione', 'ID: 687269, MQ: 51.0, TIPO: Abitazione', 'ID: 687270, MQ: 53.0, TIPO: Abitazione', 'ID: 687271, MQ: 52.0, TIPO: Abitazione', 'ID: 2667997, MQ: 129.0, TIPO: Abitazione', 'ID: 2667999, MQ: 101.0, TIPO: Abitazione', 'ID: 2668004, MQ: 105.0, TIPO: Abitazione'];3.0;1.0;1.0;1.0;1.5;2.0;2.0;1.0;1.0;2.0;1.0
3107637;L219;1043;12;;846.0;FABBRICATO;corso vercelli;483 9;45.119656;7.7092692;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;14;[687349, 687350, 687353, 687354, 687355, 687356, 687357, 687358, 687359, 687360, 687361, 687362, 687363, 2668401];True;['2019_312661_0144.xml', '2019_312661_0145.xml'];C;84.17;C;['2019_312661_0144.xml', '2019_312661_0145.xml'];True;['2019_312661_0144.xml', '2019_312661_0145.xml'];originali;('2019_312661_0144.xml', '2019_312661_0145.xml');ape_summary_a808b314c391.html;3107637;D22;['ID: 687349, MQ: 52.0, TIPO: Abitazione', 'ID: 687350, MQ: 78.0, TIPO: Abitazione', 'ID: 687353, MQ: 56.0, TIPO: Abitazione', 'ID: 687354, MQ: 46.0, TIPO: Abitazione', 'ID: 687355, MQ: 49.0, TIPO: Abitazione', 'ID: 687356, MQ: 50.0, TIPO: Abitazione', 'ID: 687357, MQ: 78.0, TIPO: Abitazione', 'ID: 687358, MQ: 53.0, TIPO: Abitazione', 'ID: 687359, MQ: 51.0, TIPO: Abitazione', 'ID: 687360, MQ: 51.0, TIPO: Abitazione', 'ID: 687361, MQ: 77.0, TIPO: Abitazione', 'ID: 687362, MQ: 51.0, TIPO: Abitazione', 'ID: 687363, MQ: 53.0, TIPO: Abitazione', 'ID: 2668401, MQ: 101.0, TIPO: Abitazione'];3.0;1.0;1.0;1.0;1.5;2.0;2.0;1.0;1.0;2.0;1.0
3107638;L219;1043;13;;926.0;FABBRICATO;corso vercelli;487 10;45.1197849;7.7097167;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[687364, 687365, 687366, 687367, 687368, 687369, 687372, 687375, 687376, 687379, 2667343, 2667344, 2667346];True;['2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml'];C;77.59;A1;['2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml'];True;['2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml'];originali;('2021_313821_0076.xml', '2021_313821_0077.xml', '2021_313821_0096.xml');ape_summary_cda046821f98.html;3107638;D22;['ID: 687364, MQ: 52.0, TIPO: Abitazione', 'ID: 687365, MQ: 78.0, TIPO: Abitazione', 'ID: 687366, MQ: 53.0, TIPO: Abitazione', 'ID: 687367, MQ: 51.0, TIPO: Abitazione', 'ID: 687368, MQ: 52.0, TIPO: Abitazione', 'ID: 687369, MQ: 79.0, TIPO: Abitazione', 'ID: 687372, MQ: 78.0, TIPO: Abitazione', 'ID: 687375, MQ: 51.0, TIPO: Abitazione', 'ID: 687376, MQ: 78.0, TIPO: Abitazione', 'ID: 687379, MQ: 51.0, TIPO: Abitazione', 'ID: 2667343, MQ: 102.0, TIPO: Abitazione', 'ID: 2667344, MQ: 100.0, TIPO: Abitazione', 'ID: 2667346, MQ: 101.0, TIPO: Abitazione'];3.0;1.0;1.0;1.0;1.5;2.0;2.0;2.0;2.0;2.0;2.0
3107639;L219;1043;14;;927.0;FABBRICATO;corso vercelli;491 11;45.1199126;7.7101329;Abitazione;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;;;;13;[687422, 687423, 687426, 687427, 687428, 687429, 687430, 687435, 687436, 687437, 2667349, 2667351, 2667354];True;['2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml'];B;113.65;A1;['2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml'];True;['2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml'];originali;('2019_102351_0137.xml', '2019_102351_0138.xml', '2019_102351_0139.xml');ape_summary_53e5133b0ac7.html;3107639;D22;['ID: 687422, MQ: 53.0, TIPO: Abitazione', 'ID: 687423, MQ: 78.0, TIPO: Abitazione', 'ID: 687426, MQ: 51.0, TIPO: Abitazione', 'ID: 687427, MQ: 77.0, TIPO: Abitazione', 'ID: 687428, MQ: 52.0, TIPO: Abitazione', 'ID: 687429, MQ: 51.0, TIPO: Abitazione', 'ID: 687430, MQ: 77.0, TIPO: Abitazione', 'ID: 687435, MQ: 51.0, TIPO: Abitazione', 'ID: 687436, MQ: 52.0, TIPO: Abitazione', 'ID: 687437, MQ: 52.0, TIPO: Abitazione', 'ID: 2667349, MQ: 103.0, TIPO: Abitazione', 'ID: 2667351, MQ: 129.0, TIPO: Abitazione', 'ID: 2667354, MQ: 101.0, TIPO: Abitazione'];3.0;1.0;1.0;1.0;1.5;2.0;2.0;2.0;2.0;3.0;2.0
