id;codice_comune;foglio;particella;subalterno;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;id_list;meta_immobile;lista_file_ape;classe_energetica_ape;epglnren_ape;classe_target_ape;list_file_ape_filtered;coordinate_ds_coerenti;list_file_ape_validated;fonte_coordinate_usata;list_file_ape_validated_norm;plot_filename;id_left;zona_omi
3107622;L219;1009;180;;3480.0;FABBRICATO;Strada Comunale del Villaretto;187;45.1306589;7.6848438;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;45;[685999, 686000, 686001, 686002, 686003, 686004, 686005, 686006, 686007, 686008, 686009, 686010, 686011, 686012, 686013, 686014, 686015, 686016, 686017, 686018, 686019, 686020, 686021, 686022, 686023, 686024, 686025, 686026, 686027, 686028, 686029, 686030, 686031, 686032, 686033, 686034, 686035, 686036, 686037, 686038, 686039, 686040, 686041, 686042, 686061];True;[];;;;[];False;[];originali;();;3107622;D22
3107623;L219;1013;136;;5444.0;FABBRICATO;Via degli Abeti;13;45.1312655;7.7090528;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;3;[683279, 683280, 683281];True;['2020_101416_0019.xml'];A1;119.03;A4;['2020_101416_0019.xml'];True;['2020_101416_0019.xml'];originali;('2020_101416_0019.xml',);ape_summary_af6cfcc9132e.html;3107623;D22
3107624;L219;1013;137;;690.0;FABBRICATO;Via delle Querce;23;45.1304989;7.7075375;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;3;[683282, 683283, 683284];True;[];;;;[];True;[];originali;();;3107624;D22
3107625;L219;1013;35;;1355.25;FABBRICATO;Via degli Abeti;15;45.1310566;7.7099316;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;in concessione a titolo oneroso;5512.0;01/12/2013;2;[683288, 683289];True;[];;;;[];True;[];originali;();;3107625;D22
3107626;L219;1016;39;;302.0;FABBRICATO;VIA DEGLI ULIVI;49E;45.129511;7.7168342;Locale commerciale, negozio;Dopo il 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;[2787467, 2787468];True;['2021_108783_0001.xml'];A4;28.36;A4;['2021_108783_0001.xml'];;[];originali;('2021_108783_0001.xml',);ape_summary_ec9fca2bf74f.html;3107626;D22
3107627;L219;1024;56;;1009.4200000000001;FABBRICATO;PIAZZA ASTENGO GIOVANNI;10;45.1271572;7.7097132;Ufficio strutturato ed assimilabili;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;[2674974, 2674975];True;[];;;;[];True;[];originali;();;3107627;D22
3107628;L219;1024;65;;3851.0;FABBRICATO;Via dei Pioppi;43;45.1264153;7.7124527;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività artistica e culturale;;;;2;[683465, 683466];True;[];;;;[];True;[];originali;();;3107628;D22
3107629;L219;1026;37;;2298.75;FABBRICATO;Strada Cuorgnè;109;45.1260897;7.7006839;Abitazione;Prima del 1919;Nessuno;Demanio;Utilizzato direttamente;Attività didattica;;;;6;[683470, 683471, 683472, 683473, 683474, 683475];True;[];;;;[];True;[];originali;();;3107629;D22
3107630;L219;1027;143;;1328.2800000000002;FABBRICATO;Strada Cuorgnè;81;45.1234107;7.7033776;Ufficio strutturato ed assimilabili;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;[683534, 683535];True;[];;;;[];True;[];originali;();;3107630;D22
3107631;L219;1033;14;;176.0;FABBRICATO;Strada Bellacomba;138;45.1247425;7.672253;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;2;[24506, 25122];True;[];;;;[];True;[];originali;();;3107631;D22
