immobili,ape,calcolato
id,,0
codice_comune,codice_catastale,0
foglio,foglio,0
particella,particella,0
subalterno,subA,0
superficie_di_riferimento_mq,superficie,0
natura_del_bene,,0
indirizzo,indirizzo,0
numero_civico,,1
latitudine,lat,0
longitudine,lon,0
tipologia_bene_immobile,,0
epoca_costruzione,anno_costruzione,0
vincolo_culturale_paesaggistico,,0
natura_giuridica_del_bene,,0
utilizzo_del_bene,,0
finalita,,0
tipo_detenzione_a_terzi,,0
canone_annuale,,0
data_decorrenza,data_emissione,0
numero_immobili_per_catasto,,0
id_list,,1
meta_immobile,,1
lista_file_ape,,1
classe_energetica_ape,classe,0
epglnren_ape,epglnren,0
classe_target_ape,intervento_classe_target,0
list_file_ape_filtered,,1
zona_omi,,0
ape_score_classe,ape_class_score,0
ape_score_impianto,ape_system_score,0
ape_score_involucro,ape_envelope_score,0
ape_score_rinnovabili,ape_renewables_score,0
ape_score_total,ape_score,0
list_file_ape_filtered_parsed,,1
commerciale,,1
educazione,,1
mobilita,,1
sanita,,1
sport,,1
verde,,1
