Codice,Linea,Nome,Lat,Lon
AP1,A,ANAGNINA,41.8429905278237,12.5858913359521
AP2,A,CINECITTA',41.8483231657389,12.5760054148249
AP3,A,SUBAUGUSTA,41.8533167296703,12.5687484553323
AP4,A,GIULIO AGRICOLA,41.8566976557734,12.5627419239407
AP5,A,LUCIO SESTIO,41.8597891346321,12.557225646606
AP6,A,NUMIDIO QUADRATO,41.8621283092675,12.5527096433294
AP7,A,PORTA FURBA - QUADRARO,41.8637018180937,12.5489668417387
AP8,A,ARCO DI TRAVERTINO,41.8660898928192,12.5360325466668
AP9,A,COLLI ALBANI,41.8698250759524,12.529515104663
AP10,A,FURIO CAMILLO,41.8747680439453,12.5230591524919
AP11,A,PONTE LUNGO,41.8778134913427,12.5190913719546
AP12,A,RE DI ROMA,41.8818527317693,12.5142127807884
AP13,A,SAN GIOVANNI,41.885665758515,12.5096570271634
AP14,A,MANZONI,41.890590641917,12.5066103924935
AP15,A,VITTORIO EMANUELE,41.8945533664738,12.504544297202
AP16,A,TERMINI,41.9010964102193,12.5000588152431
AP17,A,REPUBBLICA,41.9027614067077,12.4963111118556
AP18,A,BARBERINI,41.9038014853127,12.4887555490017
AP19,A,SPAGNA,41.9079093616163,12.4824477244968
AP20,A,FLAMINIO,41.9127879914177,12.4763786944337
AP21,A,LEPANTO,41.9115540561393,12.4664362376432
AP22,A,OTTAVIANO,41.9095237923802,12.4580867327046
AP23,A,CIPRO,41.9072261764247,12.4466063047855
AP24,A,VALLE AURELIA,41.9028382081264,12.4411850597051
AP25,A,BALDO DEGLI UBALDI,41.8991392015703,12.4339476114748
AP26,A,CORNELIA,41.9006700142462,12.4264838762767
AP27,A,BATTISTINI,41.9063296872079,12.4149825848107
