Codice,Linea,Nome,Lat,Lon
BP1,B,LAURENTINA,41.8272773260977,12.4806758052847
BP2,B,EUR FERMI,41.8287913892349,12.4709646343766
BP3,B,EUR PALASPORT,41.8302413498148,12.4660511116773
BP4,B,EUR MAGLIANA,41.8394932005087,12.4636117946707
BP5,B,MARCONI,41.8487973946219,12.4756700118304
BP6,B,BASILICA SAN PAOLO,41.8559882264305,12.4784812992469
BP7,B,GARBATELLA,41.8664646889847,12.4832529242553
BP8,B,PIRAMIDE,41.8757129272884,12.4821761686266
BP9,B,CIRCO MASSIMO,41.883326275297,12.4879647479344
BP10,B,COLOSSEO,41.8912105561002,12.4916505951916
BP11,B,CAVOUR,41.8950079944328,12.4939262452599
BP12,B,TERMINI,41.9009020185466,12.5002807659151
BP13,B,CASTRO PRETORIO,41.9061492322845,12.5055927622552
BP14,B,POLICLINICO,41.9085908094156,12.5122136349506
BP15,B,BOLOGNA,41.9135004453013,12.5208668006312
BP16,B,TIBURTINA F.S.,41.9100040884758,12.5302058422068
BP17,B,QUINTILIANI,41.9146979060132,12.5390637179492
BP18,B,MONTI TIBURTINI,41.9158682330991,12.5476160522252
BP19,B,PIETRALATA,41.9139493108018,12.555644836432
BP20,B,S.M. DEL SOCCORSO,41.9159619275853,12.5615441232732
BP21,B,PONTE MAMMOLO,41.9209025520957,12.5652831443374
BP22,B,REBIBBIA,41.9255894729387,12.5727713898073
