Codice,Linea,Nome,Lat,Lon
BP1,B1,LAURENTINA,41.8272773272252,12.4806758113982
BP2,B1,EUR FERMI,41.8287913903623,12.4709646404938
BP3,B1,EUR PALASPORT,41.8302413509421,12.4660511177964
BP4,B1,EUR MAGLIANA,41.8394932016352,12.4636118007917
BP5,B1,MARCONI,41.8487973957477,12.475670017948
BP6,B1,BASILICA SAN PAOLO,41.8559882275557,12.4784813053642
BP7,B1,GARBATELLA,41.866464690109,12.4832529303721
BP8,B1,PIRAMIDE,41.8757129284119,12.4821761747447
BP9,B1,CIRCO MASSIMO,41.8833262764199,12.4879647540512
BP10,B1,COLOSSEO,41.8912105572225,12.4916506013079
BP11,B1,CAVOUR,41.8950079955547,12.4939262513758
BP12,B1,TERMINI,41.900902019668,12.5002807720294
BP13,B1,CASTRO PRETORIO,41.9061492334054,12.5055927683681
BP14,B1,POLICLINICO,41.9085908105364,12.5122136410613
BP15,B1,BOLOGNA,41.9135004464216,12.5208668067393
BP23,B1,S.AGNESE/ANNIBALIANO,41.9237854198919,12.5164135925397
BP24,B1,LIBIA,41.9316012444088,12.5193656505941
BP25,B1,CONCA D'ORO,41.9388934550167,12.5275367807961
BP26,B1,JONIO,41.9472669391334,12.5279359706683
