municipio;zona_urbanistica;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;oltre;totale
1;01A;408;520;799;969;916;988;1149;1395;1429;1623;1984;2103;1931;1557;1285;1287;1043;1141;22527
1;01B;247;355;499;512;538;598;718;782;839;953;1078;1158;1029;889;769;713;525;554;12756
1;01C;197;268;298;363;387;407;389;444;497;596;695;749;753;642;476;405;322;435;8323
1;01D;184;225;282;282;250;321;445;403;464;561;647;648;626;504;420;375;315;377;7329
1;01E;809;979;1245;1366;1339;1453;1657;2023;2347;2566;2817;2915;2722;2078;1844;1624;1204;1381;32369
1;01F;167;232;301;326;340;420;463;490;575;627;772;793;655;575;437;467;411;490;8541
1;01G;75;119;145;167;159;165;143;206;224;244;345;351;308;244;215;218;179;185;3692
1;01X;8;11;15;18;12;24;26;55;63;71;71;64;73;61;33;30;27;35;697
1;17A;376;529;619;721;783;680;715;763;974;1135;1390;1495;1483;1195;1144;1036;821;979;16838
1;17B;622;814;1127;1254;1119;1065;1176;1163;1317;1706;2149;2318;2117;1763;1490;1487;1240;1463;25390
1;17C;507;578;757;652;691;817;1037;1025;1246;1318;1528;1495;1448;1239;1046;1030;865;1077;18356
1;n.l.;41;56;50;57;99;514;860;846;614;420;345;261;223;191;125;79;31;17;4829
1;Totale municipio;3641;4686;6137;6687;6633;7452;8778;9595;10589;11820;13821;14350;13368;10938;9284;8751;6983;8134;161647
2;02A;94;106;168;151;111;100;121;148;174;222;272;220;234;219;193;127;79;117;2856
2;02B;553;770;1072;1105;1167;1007;909;915;1215;1487;1908;2026;1791;1433;1130;1063;912;1113;21576
2;02C;333;430;605;640;568;499;557;559;669;818;1077;1181;1067;849;713;639;582;731;12517
2;02D;683;881;1201;1320;1297;1209;1092;1187;1331;1669;2158;2272;2098;1772;1354;1290;1101;1275;25190
2;02E;1570;2027;2362;2536;2442;2366;2659;2761;3029;3494;4161;4273;3861;3220;2827;2635;2127;2799;51149
2;02X;24;20;28;32;27;29;21;42;49;50;55;62;55;34;35;19;25;33;640
2;02Y;23;31;50;34;38;28;42;40;52;58;69;76;65;55;49;43;30;44;827
2;03A;1190;1420;1700;1736;1766;2048;2176;2102;2235;2518;3035;2915;2862;2274;2148;2139;1694;1917;37875
2;03B;225;263;280;242;354;496;610;646;652;713;680;643;593;527;464;393;292;364;8437
2;03X;10;24;17;28;47;57;75;61;56;69;67;66;77;53;45;42;28;30;852
2;03Y;5;3;4;4;6;15;15;14;12;16;12;16;22;19;12;11;8;19;213
2;n.l.;21;34;15;27;38;88;92;112;83;85;65;69;62;59;50;36;22;7;965
2;Totale municipio;4731;6009;7502;7855;7861;7942;8369;8587;9557;11199;13559;13819;12787;10514;9020;8437;6900;8449;163097
3;04A;552;592;664;673;663;738;895;1028;1108;1119;1219;1356;1305;1084;929;788;580;754;16047
3;04B;1150;1438;1784;1797;1559;1357;1624;1801;2213;2690;3199;3016;2549;1823;1757;2309;2025;2053;36144
