categoria,amenity_value
sanità,physiotherapist-osteopathy
sanità,audiologist
sanità,medical_supply
sanità,pharmacy
sanità,physiotherapist
sanità,hospital
sanità,defibrillator
sanità,dentist
sanità,doctor
sanità,veterinary
sanità,alternative
sanità,blood_donation
sanità,laboratory
sanità,rehabilitation
sanità,optometrist
sanità,hospice
sanità,psychotherapist
sanità,dialysis
sanità,clinic
mobilità,car_rental
mobilità,station
mobilità,car_sharing
mobilità,subway_entrance
mobilità,tram_stop
mobilità,bicycle_rental
mobilità,taxi
mobilità,bicycle_parking
mobilità,charging_station
mobilità,parking
mobilità,bus_stop
verde,nature_reserve
verde,playground
verde,wood
verde,forest
verde,garden
verde,park
verde,grass
verde,recreation_ground
verde,allotments
verde,scrub
sport,pitch
sport,stadium
sport,water_park
sport,bowling_alley
sport,golf_course
sport,swimming_pool
sport,fitness_centre
sport,ice_rink
sport,sports_centre
commerciale,erotic
commerciale,hobby
commerciale,hardware
commerciale,motorcycle
commerciale,motorcycle_repair
commerciale,kitchen
commerciale,convenience
commerciale,caravan
commerciale,hearing_aids
commerciale,water_sports
commerciale,camera
commerciale,photo
commerciale,mobile_phone
commerciale,computer
commerciale,wholesale
commerciale,funeral_directors
commerciale,charity
commerciale,security
commerciale,seafood
commerciale,copyshop
commerciale,cosmetics
commerciale,rental
commerciale,outpost
commerciale,tool_hire
commerciale,cannabis
commerciale,trade
commerciale,clothes
commerciale,gold_buyer
commerciale,car
commerciale,second_hand
commerciale,hvac
commerciale,stationery
commerciale,lighting
commerciale,wine
commerciale,butcher
commerciale,music
commerciale,optician
commerciale,houseware
commerciale,scuba_diving
commerciale,antiques
commerciale,newsagent
commerciale,numismatics
commerciale,glaziery
commerciale,fair_trade
commerciale,scooter
commerciale,tobacco
commerciale,tattoo
commerciale,toys
commerciale,paint
commerciale,pet
commerciale,carpet
commerciale,car_repair
commerciale,pottery
commerciale,kiosk
commerciale,variety_store
commerciale,interior_decoration
commerciale,travel_agency
commerciale,pastry
commerciale,leather
commerciale,fashion_accessories
commerciale,boat
commerciale,bathroom_furnishing
commerciale,vacuum_cleaner
commerciale,mobile_phone_accessories
commerciale,shoes
commerciale,fabric
commerciale,perfumery
commerciale,flooring
commerciale,video
commerciale,country_store
commerciale,supermarket
commerciale,tyres
commerciale,curtain
commerciale,pasta
commerciale,outdoor
commerciale,nutrition_supplements
commerciale,jewelry
commerciale,newspaper
commerciale,pet_grooming
commerciale,shoe_repair
commerciale,gift
commerciale,herbalist
commerciale,tiles
commerciale,general
commerciale,electrical
commerciale,florist
commerciale,locksmith
commerciale,deli
commerciale,games
commerciale,wigs
commerciale,food
commerciale,farm
commerciale,frozen_food
commerciale,hifi
commerciale,books
commerciale,anime
commerciale,chemist
commerciale,brewing_supplies
commerciale,vending_machine
commerciale,chocolate
commerciale,repair
commerciale,cheese
commerciale,coffee
commerciale,spices
commerciale,art
commerciale,collector
commerciale,video_games
commerciale,pawnbroker
commerciale,fishing
commerciale,tea
commerciale,bicycle
commerciale,garden_centre
commerciale,retail
commerciale,watches
commerciale,furniture
commerciale,hairdresser_supply
commerciale,baby_goods
commerciale,weapons
commerciale,auction_house
commerciale,electronics
commerciale,sports
commerciale,radiotechnics
commerciale,rice
commerciale,bed
commerciale,hairdresser
commerciale,laundry
commerciale,alcohol
commerciale,sport
commerciale,mall
commerciale,massage
commerciale,bookmaker
commerciale,hunting
commerciale,spa
commerciale,fan
commerciale,car_parts
commerciale,tailor
commerciale,doityourself
commerciale,army
commerciale,greengrocer
commerciale,confectionery
commerciale,grocery
commerciale,printer_ink
commerciale,dry_cleaning
commerciale,ice_cream
commerciale,model
commerciale,bakery
commerciale,party
commerciale,gas
commerciale,cartridges
commerciale,religion
commerciale,doors
commerciale,musical_instrument
commerciale,money_lender
commerciale,craft
commerciale,bag
commerciale,estate_agent
commerciale,vacant
commerciale,coffee_roasting
commerciale,telecommunication
commerciale,dairy
commerciale,plaques
commerciale,household_linen
commerciale,e-cigarette
commerciale,ticket
commerciale,sewing
commerciale,department_store
commerciale,printing
commerciale,beauty
commerciale,window_blind
commerciale,military_surplus
commerciale,frame
commerciale,appliance
educazione,community_centre
educazione,university
educazione,museum
educazione,driving_school
educazione,research_institute
educazione,school
educazione,kindergarten
educazione,music_school
educazione,library
educazione,college
