Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;20;Abitazioni civili;NORMALE;P;2900;4400;L;10,2;15,3;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;20;Abitazioni civili;OTTIMO; ;4300;6500;L;16,6;25;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;19;Abitazioni signorili;OTTIMO; ;4400;6600;L;13,3;19,9;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;19;Abitazioni signorili;NORMALE;P;3100;4600;L;9,1;13,6;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;13;Box;NORMALE;P;2450;3700;L;11,4;17,2;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;14;Posti auto coperti;NORMALE;P;2150;3200;L;10,4;15,6;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;5;Negozi;OTTIMO; ;6200;12400;L;36;72;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;5;Negozi;NORMALE;P;2550;5100;L;15,3;30,6;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B1;TO00000037;6;Uffici;NORMALE;P;2450;4900;L;8,5;17;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;20;Abitazioni civili;OTTIMO; ;3700;5600;L;12,8;19,2;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;20;Abitazioni civili;NORMALE;P;2700;4100;L;9,2;13,9;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;21;Abitazioni di tipo economico;OTTIMO;P;2250;3400;L;9,3;14;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;19;Abitazioni signorili;NORMALE;P;2500;3700;L;7;10,5;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;19;Abitazioni signorili;OTTIMO; ;3600;5300;L;11,2;16,8;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;13;Box;NORMALE;P;2350;3500;L;9,3;14;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;14;Posti auto coperti;NORMALE;P;1600;2400;L;8,7;13,1;L;
NORD-OVEST;PIEMONTE;TO;1001272;A1AA; ;L219;TORINO;B;B2;TO00001040;15;Posti auto scoperti;NORMALE;P;1300;1950;L;7,6;11,5;L;
