Tipologia Immobile;Gruppo Catastale
Abitazione;A
Albergo, pensione e assimilabili;D
Area urbana;F
Biblioteca, pinacoteca, museo, gallerie;B
Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto;C
Caserma;B
Edificio di culto e assimilabili;E
Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);B
Fabbricato per attività produttiva (industriale, artigianale o agricola);D
Impianto sportivo;D
Lastrico solare;F
Locale commerciale, negozio;C
Magazzino e locali di deposito;C
Mercato coperto;D
Ospedali, case di cura, cliniche e assimilabili;D
Palazzo storico, castello;A
Parcheggio collettivo;C
Parco/Villa Comunale/Giardino Pubblico;E
Pascolo;T
Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);B
Teatro, cinematografo, struttura per concerti e spettacoli e assimilabili;D
Terreno agricolo;T
Terreno boscato o con vegetazione di vario tipo;T
Terreno urbano;T
Ufficio strutturato ed assimilabili;A
