id;gruppo_catastale;quotazione_immobiliare_mq
3107622;A;885.0
3107623;B;850.0
3107624;A;885.0
3107625;A;885.0
3107626;C;665.0
3107627;A;885.0
3107628;B;850.0
3107629;A;885.0
3107630;A;885.0
3107631;A;885.0
3107632;A;885.0
3107633;D;315.0
3107634;A;885.0
3107635;A;885.0
3107636;A;885.0
3107637;A;885.0
3107638;A;885.0
3107639;A;885.0
3107640;A;885.0
3107641;A;885.0
3107642;A;885.0
3107643;B;850.0
3107644;A;885.0
3107645;A;885.0
3107646;A;885.0
3107647;A;885.0
3107648;A;885.0
3107649;A;885.0
3107650;A;885.0
3107651;A;885.0
3107652;A;885.0
3107653;A;885.0
3107654;A;885.0
3107655;A;885.0
3107656;C;665.0
3107657;A;885.0
3107658;A;885.0
3107659;A;885.0
3107660;A;1059.0
3107661;A;1059.0
3107662;A;1059.0
3107663;B;850.0
3107664;A;1059.0
3107665;A;1000.0
3107666;A;1000.0
3107667;A;1000.0
3107668;F;862.0
3107669;A;1000.0
3107670;A;1000.0
3107671;A;1000.0
3107672;B;862.0
3107673;A;1000.0
3107674;A;1000.0
3107675;A;1000.0
3107676;A;1000.0
3107677;A;1000.0
3107678;A;1000.0
3107679;A;1000.0
3107680;A;1000.0
3107681;A;1000.0
3107682;A;1000.0
3107683;A;1000.0
3107684;A;1000.0
3107685;A;1000.0
3107686;A;1000.0
3107687;A;1000.0
3107688;A;1000.0
3107689;A;1000.0
3107690;A;1000.0
3107691;A;1000.0
3107692;A;1000.0
3107693;A;1000.0
3107694;A;1059.0
3107695;A;1000.0
3107696;A;1059.0
3107697;A;1059.0
3107698;A;1059.0
3107699;A;885.0
3107700;A;885.0
3107701;A;885.0
3107702;A;885.0
3107703;A;885.0
3107704;D;315.0
3107705;A;967.0
3107706;A;885.0
3107707;A;967.0
3107708;A;967.0
3107709;A;967.0
3107710;A;967.0
3107711;A;1042.0
3107712;A;1042.0
3107713;A;1042.0
3107714;D;270.0
3107715;C;760.0
3107716;A;1042.0
3107717;A;1042.0
3107718;A;1042.0
3107719;A;1042.0
3107720;A;1042.0
3107721;A;1042.0
3107722;A;1042.0
3107723;A;1042.0
3107724;A;1042.0
3107725;A;967.0
3107726;A;967.0
3107727;A;967.0
3107728;A;967.0
3107729;B;850.0
3107730;A;967.0
3107731;A;1140.0
3107732;A;1140.0
3107733;A;863.0
3107734;A;1059.0
3107735;A;1059.0
3107736;A;1059.0
3107737;A;1059.0
3107738;A;1059.0
3107739;A;1059.0
3107740;A;1059.0
3107741;F;1018.0
3107742;A;1059.0
3107743;A;1059.0
3107744;A;1059.0
3107745;A;1059.0
3107746;A;1059.0
3107747;A;1000.0
3107748;A;1059.0
3107749;B;1018.0
3107750;B;862.0
3107751;A;1000.0
3107752;A;1000.0
3107753;A;1000.0
3107754;A;1000.0
3107755;A;1000.0
3107756;C;662.0
3107757;B;862.0
3107758;A;1000.0
3107759;A;1059.0
3107760;A;1000.0
3107761;A;1059.0
3107762;A;1059.0
3107763;A;1059.0
3107764;A;1059.0
3107765;A;1059.0
3107766;A;1059.0
3107767;A;1078.0
3107768;A;1078.0
3107769;F;1018.0
3107770;A;1140.0
3107771;A;863.0
3107772;A;1140.0
3107773;A;863.0
3107774;A;967.0
3107775;A;967.0
3107776;A;967.0
3107777;A;967.0
3107778;A;967.0
3107779;A;967.0
3107780;A;967.0
3107781;A;967.0
3107782;A;967.0
3107783;A;967.0
3107784;A;967.0
3107785;A;967.0
3107786;A;967.0
3107787;A;967.0
3107788;A;967.0
3107789;A;967.0
3107790;A;967.0
3107791;A;967.0
3107792;D;315.0
3107793;B;1261.0
3107794;A;967.0
3107795;A;967.0
3107796;A;967.0
3107797;A;863.0
3107798;A;863.0
3107799;A;863.0
3107800;A;967.0
3107801;A;967.0
3107802;A;967.0
3107803;A;967.0
3107804;A;863.0
3107805;A;863.0
3107806;A;863.0
3107807;A;863.0
3107808;A;863.0
3107809;A;863.0
3107810;A;863.0
3107811;A;863.0
3107812;A;863.0
3107813;A;863.0
3107814;A;863.0
3107815;A;863.0
3107816;A;863.0
3107817;A;863.0
3107818;A;863.0
3107819;A;863.0
3107820;A;863.0
3107821;A;863.0
3107822;A;863.0
3107823;A;863.0
3107824;A;863.0
3107825;A;863.0
3107826;A;1138.0
3107827;A;1138.0
3107828;A;1140.0
3107829;A;1140.0
3107830;A;1140.0
3107831;F;1294.0
3107832;A;1140.0
3107833;A;863.0
3107834;A;1138.0
3107835;A;1138.0
3107836;A;1138.0
3107837;F;1236.0
3107838;F;1236.0
3107839;F;1236.0
3107840;A;1078.0
3107841;A;1078.0
3107842;A;1000.0
3107843;A;1322.0
3107844;A;1000.0
3107845;A;1322.0
3107846;A;1242.0
3107847;B;1481.0
3107848;A;1322.0
3107849;A;1242.0
3107850;A;1322.0
3107851;A;1322.0
3107852;A;1717.0
3107853;A;1717.0
3107854;A;1322.0
3107855;A;1322.0
3107856;A;1322.0
3107857;A;1322.0
3107858;A;1500.0
3107859;A;1855.0
3107860;A;1322.0
3107861;C;1175.0
