Comune;Zona;Gruppo;valore_medio;fascia
GRUGLIASCO;D8;C;815.0;D
RIVOLI;D7;A;985.0;D
RIVOLI;D7;C;385.0;D
RIVOLI;D7;D;390.0;D
SAN MAURO TORINESE;D4;A;1234.6153846153845;D
SAN MAURO TORINESE;D4;C;738.5;D
SAN MAURO TORINESE;D4;D;361.25;D
SAN MAURO TORINESE;D5;A;1362.5;D
SAN MAURO TORINESE;D5;C;835.0;D
SAN MAURO TORINESE;D5;D;340.0;D
SAUZE D'OULX;E4;A;1154.1666666666667;E
SAUZE D'OULX;E4;C;790.0;E
TORINO;B2;A;1947.7777777777778;B
TORINO;B2;C;1529.5454545454545;B
TORINO;B3;A;2400.0;B
TORINO;B3;C;2056.25;B
TORINO;B4;A;2631.25;B
TORINO;B4;C;1781.25;B
TORINO;B5;A;1987.5;B
TORINO;B5;C;2095.0;B
TORINO;B6;A;2737.5;B
TORINO;B6;C;2260.0;B
TORINO;B7;A;2725.0;B
TORINO;B7;C;2435.0;B
TORINO;B8;A;1833.3333333333333;B
TORINO;B8;C;1431.25;B
TORINO;B9;A;2875.0;B
TORINO;B9;C;1900.0;B
TORINO;C11;A;2056.25;C
TORINO;C11;C;1152.5;C
TORINO;C12;A;2950.0;C
TORINO;C12;C;1647.0;C
TORINO;C15;A;2775.0;C
TORINO;C15;C;1833.3333333333333;C
TORINO;C17;A;1515.0;C
TORINO;C17;C;1033.3333333333333;C
TORINO;C18;A;1805.0;C
TORINO;C18;C;1337.5;C
TORINO;C19;A;1138.3333333333333;C
TORINO;C19;C;837.5;C
TORINO;C20;A;1937.5;C
TORINO;C20;C;1092.5;C
TORINO;C21;A;1500.0;C
TORINO;C21;C;1175.0;C
TORINO;C22;A;1855.0;C
TORINO;C22;C;1300.0;C
TORINO;C23;A;1525.0;C
TORINO;C23;C;908.3333333333334;C
TORINO;C24;A;1496.6666666666667;C
TORINO;C24;C;828.3333333333334;C
TORINO;C3;A;1383.75;C
TORINO;C3;C;1298.0;C
TORINO;C4;A;2516.6666666666665;C
TORINO;C4;C;1338.75;C
TORINO;C5;A;2106.25;C
TORINO;C5;C;1606.25;C
TORINO;C6;A;1800.0;C
TORINO;C6;C;1550.0;C
TORINO;C7;A;2158.3333333333335;C
TORINO;C7;C;1481.25;C
TORINO;C8;A;1270.0;C
TORINO;C8;C;1111.6666666666667;C
TORINO;D10;A;1058.75;D
TORINO;D10;C;716.0;D
TORINO;D10;D;315.0;D
TORINO;D11;A;1140.0;D
TORINO;D11;C;875.0;D
TORINO;D15;A;1041.6666666666667;D
TORINO;D15;C;760.0;D
TORINO;D15;D;270.0;D
TORINO;D16;A;1333.3333333333333;D
TORINO;D16;C;1226.6666666666667;D
TORINO;D17;A;1235.0;D
TORINO;D17;C;932.5;D
TORINO;D18;A;1446.6666666666667;D
TORINO;D18;C;1241.6666666666667;D
TORINO;D19;A;1283.3333333333333;D
TORINO;D19;C;875.0;D
TORINO;D20;A;863.3333333333334;D
TORINO;D20;C;717.5;D
TORINO;D21;A;966.6666666666666;D
TORINO;D21;C;727.5;D
TORINO;D21;D;315.0;D
TORINO;D22;A;885.0;D
TORINO;D22;C;665.0;D
TORINO;D22;D;315.0;D
TORINO;D23;A;1000.0;D
TORINO;D23;C;662.5;D
TORINO;D23;D;307.5;D
TORINO;D24;A;1321.6666666666667;D
TORINO;D24;C;1012.5;D
TORINO;D25;A;1241.6666666666667;D
TORINO;D25;C;910.0;D
TORINO;D25;D;375.0;D
TORINO;D26;A;1716.6666666666667;D
TORINO;D26;C;1187.5;D
TORINO;D6;A;1033.75;D
TORINO;D6;C;643.0;D
TORINO;D6;D;348.3333333333333;D
TORINO;D9;A;1077.5;D
TORINO;D9;C;790.0;D
TORINO;E3;A;1426.4285714285713;E
TORINO;E3;C;787.5;E
TORINO;E3;D;367.5;E
VAL DI CHY;E2;A;1091.6666666666667;E
VAL DI CHY;E2;C;752.0;E
VAL DI CHY;E2;D;359.0;E
VALCHIUSA;B1;A;785.2891791044776;B
VALCHIUSA;B1;C;623.4026622296172;B
VALCHIUSA;B1;D;299.2857142857143;B
VALCHIUSA;D1;A;934.5512820512821;D
VALCHIUSA;D1;C;631.5277777777778;D
VALCHIUSA;D1;D;318.75;D
VALCHIUSA;E1;A;979.3055555555555;E
VALCHIUSA;E1;C;688.1034482758621;E
VALCHIUSA;E1;D;345.0;E
VALCHIUSA;R1;A;1550.0;R
VILLARBASSE;C2;A;1306.4583333333333;C
VILLARBASSE;C2;C;963.8095238095239;C
VILLARBASSE;C2;D;330.0;C
VILLASTELLONE;D3;A;1233.0;D
VILLASTELLONE;D3;C;703.4615384615385;D
VILLASTELLONE;D3;D;336.6666666666667;D
VINOVO;C1;A;1127.6966292134832;C
VINOVO;C1;C;763.1818181818181;C
VINOVO;C1;D;325.0;C
VINOVO;D2;A;1209.6666666666667;D
VINOVO;D2;C;745.5357142857143;D
VINOVO;D2;D;345.35714285714283;D
