category,amenity,count_250,count_500,count_1000,count_2000
commerciale,alcohol,16,54,169,647
commerciale,anime,2,5,21,71
commerciale,antiques,5,26,104,368
commerciale,appliance,2,9,36,119
commerciale,army,1,1,5,18
commerciale,art,1,17,54,220
commerciale,auction_house,0,1,5,19
commerciale,baby_goods,0,4,13,51
commerciale,bag,4,15,51,182
commerciale,bakery,56,232,860,3100
commerciale,bathroom_furnishing,2,15,54,188
commerciale,beauty,25,108,382,1487
commerciale,bed,9,22,89,305
commerciale,bicycle,16,73,244,882
commerciale,boat,0,1,3,14
commerciale,bookmaker,7,37,127,485
commerciale,books,25,133,504,1775
commerciale,brewing_supplies,0,0,1,5
commerciale,butcher,20,103,387,1430
commerciale,camera,2,7,28,116
commerciale,cannabis,1,6,21,77
commerciale,car,14,62,272,979
commerciale,car_parts,5,26,84,286
commerciale,car_repair,37,151,556,2099
commerciale,caravan,0,0,0,3
commerciale,carpet,2,11,35,123
commerciale,cartridges,0,1,4,12
commerciale,charity,1,7,23,82
commerciale,cheese,2,3,15,56
commerciale,chemist,8,34,119,429
commerciale,chocolate,4,20,68,250
commerciale,clothes,120,416,1713,5962
commerciale,coffee,11,29,122,434
commerciale,coffee_roasting,1,3,7,24
commerciale,collector,1,6,25,79
commerciale,computer,9,23,107,388
commerciale,confectionery,12,44,162,624
commerciale,convenience,83,279,1037,3805
commerciale,copyshop,8,41,152,585
commerciale,cosmetics,12,31,107,384
commerciale,country_store,1,1,4,14
commerciale,craft,0,2,11,36
commerciale,curtain,0,6,15,69
commerciale,dairy,0,2,8,25
commerciale,deli,18,56,212,732
commerciale,department_store,6,15,62,221
commerciale,doityourself,6,18,61,248
commerciale,doors,3,15,53,200
commerciale,dry_cleaning,8,34,101,430
commerciale,e-cigarette,4,8,40,136
commerciale,electrical,1,8,37,125
commerciale,electronics,8,32,146,562
commerciale,erotic,2,8,28,103
commerciale,estate_agent,6,7,34,132
commerciale,fabric,1,5,13,42
commerciale,fair_trade,0,1,9,23
commerciale,fan,1,3,9,23
commerciale,farm,1,4,15,69
commerciale,fashion_accessories,2,15,57,187
commerciale,fishing,0,9,17,67
commerciale,flooring,0,2,9,26
commerciale,florist,12,53,191,714
commerciale,food,0,2,7,27
commerciale,frame,1,7,24,98
commerciale,frozen_food,0,3,15,54
commerciale,funeral_directors,5,26,77,295
commerciale,furniture,11,57,217,809
commerciale,games,0,3,17,57
commerciale,garden_centre,0,4,12,48
commerciale,gas,0,0,0,0
commerciale,general,3,9,41,136
commerciale,gift,9,26,109,346
commerciale,glaziery,1,3,11,41
commerciale,gold_buyer,0,0,0,0
commerciale,greengrocer,16,72,238,859
commerciale,grocery,0,0,3,14
commerciale,hairdresser,79,329,1218,4556
commerciale,hairdresser_supply,2,4,21,78
commerciale,hardware,13,52,192,716
commerciale,hearing_aids,1,7,37,154
commerciale,herbalist,5,22,82,280
commerciale,hifi,1,2,15,39
commerciale,hobby,0,2,7,19
commerciale,household_linen,1,2,7,33
commerciale,houseware,13,45,169,610
commerciale,hunting,0,1,8,23
commerciale,hvac,0,0,0,0
commerciale,ice_cream,0,2,4,11
commerciale,interior_decoration,6,18,58,207
commerciale,jewelry,17,71,293,1029
commerciale,kiosk,15,48,145,536
commerciale,kitchen,3,15,67,261
commerciale,laundry,10,59,193,727
commerciale,leather,4,5,21,83
commerciale,lighting,4,5,16,70
commerciale,locksmith,2,6,17,63
commerciale,mall,3,12,53,207
commerciale,massage,8,24,72,274
commerciale,military_surplus,1,3,10,26
commerciale,mobile_phone,6,10,43,169
commerciale,mobile_phone_accessories,1,3,7,26
commerciale,model,0,2,12,44
commerciale,money_lender,0,9,26,88
commerciale,motorcycle,2,18,63,233
commerciale,motorcycle_repair,1,4,12,51
commerciale,music,4,11,56,184
commerciale,musical_instrument,5,8,43,128
commerciale,newsagent,22,80,304,1121
commerciale,newspaper,2,3,18,48
commerciale,numismatics,0,2,6,22
commerciale,nutrition_supplements,0,5,18,62
commerciale,optician,26,115,419,1527
commerciale,outdoor,0,9,29,107
commerciale,outpost,0,1,3,11
commerciale,paint,3,13,49,195
commerciale,party,4,12,30,111
commerciale,pasta,1,8,23,90
commerciale,pastry,23,105,387,1446
commerciale,pawnbroker,0,2,7,20
commerciale,perfumery,9,24,100,356
commerciale,pet,8,41,163,628
commerciale,pet_grooming,4,11,36,145
commerciale,photo,3,11,33,124
commerciale,plaques,0,1,3,15
commerciale,pottery,0,1,3,19
commerciale,printer_ink,3,10,30,127
commerciale,printing,0,0,5,22
commerciale,radiotechnics,2,3,12,45
commerciale,religion,1,3,9,27
commerciale,rental,1,2,7,32
commerciale,repair,1,2,7,23
commerciale,retail,0,1,5,20
commerciale,rice,0,1,5,22
commerciale,scooter,0,1,4,13
commerciale,scuba_diving,0,1,2,8
commerciale,seafood,7,19,61,211
commerciale,second_hand,6,18,53,221
commerciale,security,0,0,0,0
commerciale,sewing,1,7,26,93
commerciale,shoe_repair,4,7,26,104
commerciale,shoes,20,66,243,831
commerciale,spa,0,2,7,21
commerciale,spices,0,2,4,20
commerciale,sport,0,1,6,24
commerciale,sports,11,36,129,525
commerciale,stationery,13,46,188,760
commerciale,supermarket,82,290,1117,4128
commerciale,tailor,10,39,133,518
commerciale,tattoo,7,32,113,395
commerciale,tea,4,16,63,221
commerciale,telecommunication,9,30,118,437
commerciale,ticket,4,8,55,192
commerciale,tiles,0,3,17,53
commerciale,tobacco,48,182,721,2681
commerciale,tool_hire,0,1,4,11
commerciale,toys,6,24,94,331
commerciale,trade,3,16,60,208
commerciale,travel_agency,5,51,192,750
commerciale,tyres,8,31,112,468
commerciale,vacant,8,51,174,608
commerciale,vacuum_cleaner,0,0,1,8
commerciale,variety_store,6,23,76,299
commerciale,vending_machine,1,1,4,10
commerciale,video,1,1,3,13
commerciale,video_games,1,5,16,65
commerciale,watches,2,3,17,59
commerciale,water_sports,0,1,2,13
commerciale,weapons,2,3,12,46
commerciale,wholesale,1,1,7,45
commerciale,wigs,1,3,14,41
