cluster_id,category,amenity,count_250,count_500,count_1000,count_2000
0,sanità,pharmacy,1,2,14,73
1,sanità,pharmacy,0,3,14,52
2,sanità,pharmacy,0,2,10,35
3,sanità,pharmacy,3,3,5,20
4,sanità,pharmacy,5,13,32,87
5,sanità,pharmacy,0,0,1,11
6,sanità,pharmacy,1,3,12,37
7,sanità,pharmacy,1,3,7,10
8,sanità,pharmacy,3,5,15,68
9,sanità,pharmacy,0,4,19,65
10,sanità,pharmacy,0,0,0,8
11,sanità,pharmacy,0,0,2,8
12,sanità,pharmacy,0,0,9,45
13,sanità,pharmacy,0,0,1,13
14,sanità,pharmacy,0,3,15,36
15,sanità,pharmacy,0,0,0,3
16,sanità,pharmacy,0,0,0,0
17,sanità,pharmacy,0,0,7,36
18,sanità,pharmacy,1,3,11,62
19,sanità,pharmacy,1,8,33,75
20,sanità,pharmacy,1,4,19,52
21,sanità,pharmacy,0,2,3,9
22,sanità,pharmacy,0,0,0,2
23,sanità,pharmacy,0,1,7,27
24,sanità,pharmacy,0,1,8,36
25,sanità,pharmacy,0,0,0,2
26,sanità,pharmacy,2,5,14,59
27,sanità,pharmacy,1,4,15,60
28,sanità,pharmacy,0,1,4,5
29,sanità,pharmacy,0,3,14,49
30,sanità,pharmacy,2,8,20,72
31,sanità,pharmacy,0,3,8,34
32,sanità,pharmacy,0,2,13,45
33,sanità,pharmacy,0,4,13,47
34,sanità,pharmacy,0,1,11,28
35,sanità,pharmacy,0,1,1,8
36,sanità,pharmacy,4,11,40,84
37,sanità,pharmacy,0,1,3,11
38,sanità,pharmacy,2,2,5,15
39,sanità,pharmacy,1,1,3,17
40,sanità,pharmacy,1,2,3,15
41,sanità,pharmacy,0,1,5,8
42,sanità,pharmacy,0,0,0,6
43,sanità,pharmacy,0,3,7,27
44,sanità,pharmacy,1,2,7,23
45,sanità,pharmacy,1,4,10,45
46,sanità,pharmacy,1,3,15,63
47,sanità,pharmacy,0,5,11,32
48,sanità,pharmacy,0,4,21,74
49,sanità,pharmacy,1,1,1,5
50,sanità,pharmacy,0,1,9,33
51,sanità,pharmacy,1,3,17,42
52,sanità,pharmacy,1,3,20,76
53,sanità,pharmacy,0,2,6,20
54,sanità,pharmacy,1,3,9,24
55,sanità,pharmacy,0,3,18,85
56,sanità,pharmacy,0,0,0,1
57,sanità,pharmacy,0,0,0,4
58,sanità,pharmacy,0,3,18,58
59,sanità,pharmacy,0,0,1,2
60,sanità,pharmacy,1,1,15,75
61,sanità,pharmacy,1,2,19,47
62,sanità,pharmacy,0,4,24,85
63,sanità,pharmacy,2,6,21,67
64,sanità,pharmacy,0,4,12,32
65,sanità,pharmacy,0,3,11,26
66,sanità,pharmacy,0,0,0,3
67,sanità,pharmacy,3,9,27,92
68,sanità,pharmacy,0,1,7,52
69,sanità,pharmacy,0,0,0,1
70,sanità,pharmacy,0,1,4,27
71,sanità,pharmacy,0,0,1,8
72,sanità,pharmacy,0,1,10,61
73,sanità,pharmacy,0,0,4,21
74,sanità,pharmacy,0,2,19,62
75,sanità,pharmacy,0,0,8,37
76,sanità,pharmacy,4,11,28,88
77,sanità,pharmacy,0,0,0,4
78,sanità,pharmacy,0,0,0,0
79,sanità,pharmacy,0,2,7,33
80,sanità,pharmacy,0,0,2,9
81,sanità,pharmacy,2,2,9,31
82,sanità,pharmacy,0,3,12,34
83,sanità,pharmacy,0,5,20,68
84,sanità,pharmacy,2,5,14,62
85,sanità,pharmacy,0,0,1,7
86,sanità,pharmacy,0,0,1,6
87,sanità,pharmacy,3,14,34,88
88,sanità,pharmacy,0,2,8,21
89,sanità,pharmacy,0,0,1,18
90,sanità,pharmacy,0,1,5,24
91,sanità,pharmacy,0,1,2,10
92,sanità,pharmacy,1,5,16,64
93,sanità,pharmacy,0,0,8,57
94,sanità,pharmacy,3,8,24,53
95,sanità,pharmacy,4,14,30,86
96,sanità,pharmacy,0,3,12,43
97,sanità,pharmacy,0,1,4,8
98,sanità,pharmacy,0,2,11,30
99,sanità,pharmacy,1,2,9,58
100,sanità,pharmacy,0,0,3,14
101,sanità,pharmacy,0,0,0,1
102,sanità,pharmacy,0,0,2,6
103,sanità,pharmacy,0,0,0,7
104,sanità,pharmacy,0,2,4,6
105,sanità,pharmacy,2,4,16,45
106,sanità,pharmacy,2,2,13,102
107,sanità,pharmacy,0,4,15,71
108,sanità,pharmacy,0,3,10,37
109,sanità,pharmacy,0,0,2,23
110,sanità,pharmacy,0,2,3,19
111,sanità,pharmacy,0,0,1,1
112,sanità,pharmacy,0,0,9,50
113,sanità,pharmacy,3,7,27,89
114,sanità,pharmacy,0,1,2,12
115,sanità,pharmacy,0,0,0,10
116,sanità,pharmacy,2,3,20,82
117,sanità,pharmacy,0,0,1,5
118,sanità,pharmacy,0,0,1,8
119,sanità,pharmacy,1,11,29,75
120,sanità,pharmacy,0,3,14,70
121,sanità,pharmacy,1,3,4,28
122,sanità,pharmacy,0,1,6,17
123,sanità,pharmacy,2,5,12,51
124,sanità,pharmacy,0,1,5,11
125,sanità,pharmacy,0,3,15,42
126,sanità,pharmacy,0,0,0,4
127,sanità,pharmacy,2,6,22,71
128,sanità,pharmacy,1,5,16,46
129,sanità,pharmacy,0,0,2,24
130,sanità,pharmacy,0,0,0,0
131,sanità,pharmacy,0,4,9,31
132,sanità,pharmacy,1,1,7,37
133,sanità,pharmacy,0,4,7,31
134,sanità,pharmacy,0,2,8,36
135,sanità,pharmacy,2,4,16,62
136,sanità,pharmacy,0,0,1,25
137,sanità,pharmacy,3,5,15,60
138,sanità,pharmacy,0,0,0,0
139,sanità,pharmacy,0,0,0,2
140,sanità,pharmacy,2,6,28,91
141,sanità,pharmacy,1,3,20,72
142,sanità,pharmacy,1,2,9,29
143,sanità,pharmacy,0,0,0,20
144,sanità,pharmacy,1,2,12,67
145,sanità,pharmacy,1,2,2,9
146,sanità,pharmacy,0,1,1,7
147,sanità,pharmacy,0,1,2,8
148,sanità,pharmacy,1,4,10,37
149,sanità,pharmacy,2,5,13,49
0,sanità,defibrillator,0,0,1,19
1,sanità,defibrillator,0,0,0,6
2,sanità,defibrillator,0,0,0,5
3,sanità,defibrillator,0,0,1,3
4,sanità,defibrillator,3,6,20,29
5,sanità,defibrillator,0,0,0,0
6,sanità,defibrillator,1,1,3,4
7,sanità,defibrillator,0,0,0,3
8,sanità,defibrillator,0,1,2,7
9,sanità,defibrillator,1,3,6,20
10,sanità,defibrillator,0,0,0,0
11,sanità,defibrillator,0,0,0,1
12,sanità,defibrillator,0,0,4,8
13,sanità,defibrillator,0,0,0,0
14,sanità,defibrillator,0,0,1,2
15,sanità,defibrillator,0,0,0,0
16,sanità,defibrillator,0,0,0,0
17,sanità,defibrillator,0,0,0,2
18,sanità,defibrillator,0,1,4,13
19,sanità,defibrillator,1,1,14,26
20,sanità,defibrillator,1,1,1,2
21,sanità,defibrillator,0,0,0,0
22,sanità,defibrillator,0,0,0,0
23,sanità,defibrillator,0,0,1,4
24,sanità,defibrillator,0,1,2,4
25,sanità,defibrillator,0,0,0,0
26,sanità,defibrillator,0,0,2,7
27,sanità,defibrillator,0,1,7,20
28,sanità,defibrillator,0,0,0,0
29,sanità,defibrillator,0,1,2,9
30,sanità,defibrillator,2,2,2,16
31,sanità,defibrillator,0,0,0,3
32,sanità,defibrillator,1,1,2,7
33,sanità,defibrillator,0,0,0,3
34,sanità,defibrillator,0,0,1,3
35,sanità,defibrillator,0,0,0,1
36,sanità,defibrillator,1,5,16,35
37,sanità,defibrillator,0,1,2,3
38,sanità,defibrillator,0,0,0,2
39,sanità,defibrillator,0,0,0,2
40,sanità,defibrillator,0,0,0,1
41,sanità,defibrillator,0,0,0,2
42,sanità,defibrillator,0,0,0,1
43,sanità,defibrillator,1,1,1,3
44,sanità,defibrillator,0,0,0,2
45,sanità,defibrillator,0,0,3,5
46,sanità,defibrillator,0,0,1,7
47,sanità,defibrillator,0,0,0,9
48,sanità,defibrillator,1,1,14,25
49,sanità,defibrillator,0,0,0,0
50,sanità,defibrillator,0,0,0,1
51,sanità,defibrillator,0,0,1,2
52,sanità,defibrillator,0,0,4,25
53,sanità,defibrillator,0,0,0,4
54,sanità,defibrillator,0,0,2,2
