immobile_id,cluster_id
1945244,79
689718,146
696035,43
1945829,61
691888,29
691854,29
692624,14
691298,18
2732827,52
574597,58
689266,79
693282,113
3107710,90
3108109,9
1864589,29
574727,58
2667135,99
692362,41
691306,18
683500,43
696717,122
1947438,34
695859,33
574963,58
382044,141
686838,74
695961,119
686780,74
695757,33
689223,17
696448,43
1946632,53
1866158,24
695157,33
2790322,93
2675304,147
691260,18
1865267,139
1866206,51
698947,23
692168,18
2860004,2
694478,140
689278,79
691509,14
697578,32
689995,30
691480,14
693373,113
697525,32
690345,79
1865277,5
574563,58
3107908,0
692629,14
695037,33
1947877,97
1945710,91
1865590,121
691730,29
43208,119
698914,23
1945394,89
1865124,59
689745,146
686001,59
689216,17
698435,9
3107926,24
693875,1
698260,9
698425,9
693246,44
1865810,114
693207,44
1945550,41
694528,63
691896,29
698543,23
698031,23
694611,1
695610,65
683759,43
691409,98
687005,74
698075,23
695374,119
693869,1
3107791,3
696375,3
688923,38
698918,23
1946687,46
695042,33
3108098,135
693350,113
689339,60
698093,23
698137,76
694907,87
686346,43
692311,18
696436,45
683218,145
697429,93
1946410,115
694362,140
696915,45
574833,58
698803,143
689594,144
689709,12
693012,76
1938006,86
697660,32
574985,58
696469,19
694245,8
1946640,53
686727,21
695834,33
574571,58
14929,26
699391,76
2667297,104
699102,23
690686,35
693015,76
692696,14
2863140,2
694986,33
688976,70
691518,14
692000,29
574980,58
692824,14
1947825,73
695076,33
3107771,125
689274,79
1945780,61
3073195,13
1946593,37
695278,65
693071,14
698829,23
694814,87
689996,30
693195,44
696434,3
1865921,54
693026,47
688885,38
697500,32
3108140,141
691969,29
1866116,14
691613,148
688954,38
697466,32
2666132,105
699024,23
691925,29
683702,43
697319,36
683457,43
693611,2
3107721,147
692141,18
696814,45
1947268,95
699125,23
1945420,146
683740,43
696471,19
1864790,59
1865464,50
695788,33
693372,113
1947850,23
698188,6
1865794,54
694512,116
698610,19
686811,74
692094,146
1865203,77
697683,32
1945689,80
695016,33
1947837,73
687251,43
699431,110
693285,113
696996,19
694671,39
683453,43
3107973,76
574820,58
697194,36
694568,1
692854,72
1864505,111
2859994,2
1866256,16
687158,43
696411,3
382054,107
1946252,115
694620,1
1946666,132
1864628,59
689566,144
1946757,20
687492,21
683523,43
692401,18
687180,43
696413,3
691974,29
690528,107
1862488,5
1946120,44
688865,38
698736,23
695355,119
691506,14
686668,0
696241,53
687418,43
1948051,129
2787464,28
1865167,139
691566,148
697185,36
692918,113
694980,4
3108009,137
1938010,86
693010,84
698141,76
698375,9
2849052,10
689699,0
692313,18
696336,3
1865451,96
698283,9
693505,62
689215,17
1945625,41
338707,3
696971,119
1945460,11
697451,32
1116,29
692700,14
1945454,11
693522,62
697621,32
3107621,45
3107979,140
574860,58
694476,140
698422,9
698292,9
695998,43
695627,65
686521,105
697953,49
688955,38
683505,43
686881,74
2790319,93
694375,4
695994,43
1946656,53
1865458,50
696142,13
696523,19
689340,60
693999,8
1947721,141
689521,144
692857,72
692319,18
692721,14
3108001,39
686733,21
689518,144
693741,2
693643,2
695710,33
687227,43
1945854,61
692844,14
1946269,115
1865117,59
694777,87
696513,19
697188,36
1946647,53
696969,119
1865586,31
1947764,6
1865714,128
1946190,68
690595,35
689454,60
694898,87
688339,54
691511,14
1865482,128
691491,14
688884,38
2714517,147
693871,1
687375,104
696141,13
698959,141
574928,58
693668,2
683707,43
1947581,103
691296,18
1864569,43
692551,24
1862465,77
388323,83
1865190,139
1947536,122
697127,36
2675303,147
694730,106
2859485,4
1866225,17
693212,44
689753,146
699067,23
688335,30
697455,32
695905,4
689474,60
1945763,125
696911,45
697740,32
388319,83
694044,8
696554,19
691971,29
694122,8
697486,32
