cluster_id,gruppo_catastale,quotazione_media_al_mq
0,A,1138.0
0,B,1302.0
0,C,838.0
1,A,1286.28
1,B,1300.0
1,C,875.0
1,D,321.0
1,E,1300.0
1,T,1301.0
2,A,1001.29
2,B,914.0
2,C,662.0
2,E,862.0
2,T,862.0
3,A,967.0
3,B,850.0
3,C,728.0
3,D,315.0
3,T,850.0
4,A,2027.03
4,B,2483.33
4,C,2101.88
5,A,885.0
5,T,850.0
6,A,1235.0
6,B,1303.0
6,T,1303.0
7,A,2042.89
7,B,1842.0
7,C,1152.0
7,T,1815.58
8,A,1075.17
8,B,1018.0
8,C,716.0
8,D,315.0
8,E,1018.0
8,F,1018.0
8,T,1236.0
9,A,1573.07
9,B,1848.8
9,C,1008.5
9,D,1950.0
9,E,1950.0
10,T,862.0
11,T,978.06
12,A,2225.06
12,B,1801.0
12,C,1171.05
12,D,1801.0
12,F,2131.0
12,T,1651.0
13,A,1034.0
13,C,643.0
13,D,348.0
13,F,830.0
13,T,830.0
14,A,1283.0
14,D,321.0
14,T,1300.0
15,T,850.0
16,T,1261.0
17,A,885.0
17,B,850.0
17,C,665.0
17,D,315.0
17,F,850.0
17,T,860.83
18,A,1239.19
18,B,1552.0
18,F,1303.0
18,T,1485.0
19,A,2559.59
19,B,2329.33
19,C,1900.23
19,D,2250.29
19,E,1776.0
19,T,1776.0
20,A,1622.0
20,B,1622.57
20,C,1141.67
20,D,321.0
20,E,1259.0
20,T,1683.17
21,A,885.0
21,B,850.0
21,C,665.0
21,T,850.0
22,T,850.0
23,A,1034.0
23,B,830.0
23,C,643.0
23,D,348.0
23,T,830.0
24,A,863.0
24,B,939.0
24,C,718.0
24,D,321.0
24,T,939.0
25,T,1261.0
26,A,1536.36
26,B,1555.67
26,C,1175.0
26,D,1593.0
26,T,1481.0
27,A,2096.04
27,B,2045.33
27,C,1338.0
27,D,1938.0
27,T,1926.0
28,B,850.0
28,C,665.0
28,T,850.0
29,A,866.62
29,B,939.0
29,C,838.0
29,T,939.0
30,A,1270.0
30,B,1312.0
30,C,1112.0
30,D,1312.0
30,T,1312.0
31,A,1059.0
31,B,1018.0
31,C,716.0
31,T,920.74
32,A,1235.0
32,B,1303.0
32,C,932.0
32,D,321.0
32,T,1303.0
33,A,1283.0
33,B,1300.0
33,C,875.0
33,D,321.0
33,E,1300.0
33,T,1300.0
34,A,1242.0
34,B,1259.0
34,T,1259.0
35,A,1042.0
35,B,982.0
35,T,982.0
36,A,1948.0
36,B,1776.0
36,C,1878.0
37,A,1806.0
37,B,1842.0
37,T,1263.52
38,A,1000.0
38,B,862.0
38,C,662.0
38,D,308.0
38,T,862.0
39,A,1426.0
39,B,1261.0
39,C,788.0
39,T,1261.0
40,A,1034.0
40,B,830.0
40,C,643.0
40,D,348.0
40,F,830.0
40,T,830.0
41,A,1042.0
41,C,760.0
41,T,982.0
42,A,1426.0
42,B,1261.0
42,E,1261.0
42,T,1261.0
43,A,864.79
43,B,916.75
43,C,718.0
43,D,321.0
43,E,939.0
43,T,939.0
44,A,1000.0
44,B,862.0
44,C,662.0
44,F,862.0
44,T,862.0
45,A,1233.25
45,B,1303.0
45,C,932.0
45,T,1303.0
46,A,1447.0
46,B,1561.0
46,D,321.0
46,F,1561.0
46,T,1561.0
47,A,1333.0
47,B,1485.0
47,C,1227.0
47,D,321.0
47,T,1440.2
48,A,1778.74
48,B,1832.0
48,C,1338.0
48,D,1394.0
48,E,2597.0
48,F,1938.0
48,T,1938.0
49,A,1034.0
49,B,830.0
49,C,643.0
49,D,348.0
49,T,830.0
50,A,1322.0
50,B,1481.0
50,D,321.0
50,T,1159.14
51,A,1025.54
51,B,999.33
51,C,716.0
51,F,1018.0
51,T,957.69
52,A,1355.6
52,B,1386.55
52,C,1085.67
52,D,1394.0
52,F,1394.0
53,A,1805.59
53,B,1818.0
53,D,315.0
53,T,934.91
54,A,1000.0
54,B,862.0
54,T,862.0
55,A,1800.0
55,B,1950.0
55,C,1550.0
55,F,1950.0
56,T,830.0
57,A,1426.0
57,C,788.0
57,D,368.0
57,T,1261.0
58,A,1077.31
58,B,1080.29
58,E,1236.0
58,F,1018.0
58,T,1236.0
59,A,885.0
59,B,850.0
59,C,665.0
59,T,850.0
60,A,1149.44
60,B,1338.8
60,C,851.0
60,D,1302.0
60,F,1302.0
61,A,1099.5
61,B,1018.0
61,T,1250.56
62,A,1528.91
62,C,1298.5
62,D,1825.0
62,F,1394.0
63,A,1578.93
63,B,1648.71
63,C,902.0
63,D,1553.0
63,E,1888.0
64,A,1242.0
64,B,1259.0
64,T,1259.0
65,A,967.0
65,B,850.0
65,C,728.0
65,D,315.0
65,T,869.78
66,A,1426.0
66,B,1261.0
66,T,1261.0
67,A,2212.9
67,B,1819.67
67,C,1298.0
68,A,1078.0
68,B,1236.0
68,C,790.0
68,D,308.0
68,F,1236.0
68,T,1196.63
69,A,1426.0
69,B,1261.0
69,T,1261.0
70,A,1242.0
70,B,1020.8
70,C,662.0
70,D,375.0
70,F,1259.0
70,T,1243.43
71,A,1042.0
71,D,270.0
71,T,998.41
72,A,1805.0
72,B,1938.0
72,C,1338.0
72,D,1938.0
72,T,1938.0
73,A,1426.0
73,B,1373.0
73,C,1227.0
73,E,1373.0
73,T,1307.34
74,A,1132.66
74,B,1081.0
74,C,875.0
74,D,321.0
74,F,1294.0
75,A,1283.0
75,B,1300.0
75,C,875.0
75,D,321.0
75,T,1300.0
76,A,1982.14
76,B,2256.0
76,C,1943.29
76,D,2256.0
77,A,885.0
77,C,665.0
77,D,315.0
77,T,850.0
78,A,1426.0
78,C,788.0
78,T,1261.0
79,A,967.0
79,B,850.0
79,D,315.0
79,T,850.0
80,T,982.0
81,A,2026.5
81,B,1854.0
81,C,1152.0
81,D,1866.0
81,F,1866.0
81,T,1872.0
82,A,1005.13
82,B,901.0
82,D,311.5
82,T,971.2
83,A,2812.5
83,B,2209.33
83,C,2406.86
83,D,2296.0
83,E,2296.0
83,F,1776.0
83,T,2451.0
84,A,1330.4
84,B,1453.5
84,C,932.0
84,D,321.0
84,F,1413.36
84,T,1394.0
85,D,315.0
85,T,850.0
86,T,850.0
87,A,1994.2
87,B,2332.5
87,C,2095.0
87,D,2256.0
88,A,1049.46
88,B,830.0
88,D,348.0
88,E,830.0
88,T,844.33
89,E,850.0
89,T,856.14
90,A,967.0
90,B,850.0
90,T,850.0
91,A,1042.0
91,B,982.0
91,E,982.0
91,T,960.0
92,A,1266.85
92,B,1312.0
92,C,790.0
92,T,1274.0
93,A,1677.55
93,B,1768.0
93,C,1188.0
93,D,321.0
93,E,1768.0
93,T,1560.0
94,A,1447.0
94,B,1561.0
94,D,321.0
94,F,1561.0
95,A,1824.98
95,C,1530.0
95,E,1776.0
96,A,1327.27
96,B,1552.75
96,C,1012.0
96,D,321.0
96,E,862.0
96,T,1028.65
97,A,1034.0
97,B,830.0
97,D,348.0
97,T,830.0
98,A,1297.82
98,B,993.75
98,D,348.0
98,T,1239.38
99,A,2721.4
99,B,2296.0
99,C,1171.2
99,D,2098.0
99,E,2296.0
99,T,1749.57
100,A,1000.0
100,B,862.0
100,C,662.0
100,F,862.0
100,T,862.0
101,T,830.0
102,A,885.0
102,B,850.0
