struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,healthcare,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,pharmacy,1,5,15,77,"4620303530,1470609151,2019649541,4734592596,4734595751,12703506925,7310501808,4553612464,4735016415,3147953801,1670302089,2135139106,4734594417,4734593954,7385328770,7380128899,7380131545,4289452247,7373154101,1198867317,4735667414,4735021763,4735023412,12814474916,2592486643,7310501806,7310088536,6029326322,4735669404,4735721872,12800044441,2036336905,2036356385,4735719316,4412226590,9140119438,4735717950,7384890987,7376141996,3342794654,7373154102,3342781917,3342780201,3344782869,1475077657,4736115522,7312267251,12798227483,4735804570,4735804530,11782400574,2036360279,3893151255,4735829063,2018737316,4735717430,2018187040,619193786,4735828988,3224067528,5255625937,2593187678,2048347744,2018203641,5628622146,1333701639,2018982162,2019517474,7310122343,4736110877,5113659491,2019532938,6827178588,5110808474,4736057638,4736055182,2068598491"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,dentist,0,0,4,16,"13306002941,7261094839,13288761320,9568693092,10698834221,8569291136,10751445003,12886910727,10737466798,2016414024,1448147009,8463109068,2406157072,11296229554,4195848889,5941324678"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,veterinary,0,1,2,9,"4734597325,6948201811,7023650031,8518082749,11283174640,6942723111,12951974696,11290467038,4735830189"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,optician,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,medical_supply,0,0,2,3,"11283227093,11064390829,3957940798"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,defibrillator,1,2,8,26,"12599100593,13271881701,13308607340,9376999100,10243877109,7227510560,12237513601,12829755501,11071576234,9552060491,9137861147,7232177660,9515896704,7234888685,12886227002,432803701,12484268753,5121847084,7934552531,13239427956,4374929675,13015096966,8356951251,6705560885,11273669529,5113659443"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,hospital,0,0,2,4,"3538149956,26294487,294267544,190728046"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,clinic,0,2,14,29,"12855312376,1266944688,10769159379,1196177763,395057467,12816667601,12816667602,12816909558,12816909553,12814452400,12816909554,12814474932,12814452396,4735802143,10769197381,4086304459,6664922333,822529092,4735668281,11290349432,10567218284,10567228303,4162728590,464291813,12168612107,3893264712,385995302,10698816652,2284074743"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,sanità,doctors,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,station,0,0,0,10,"3253332071,893193542,1621697594,543360161,254594416,11592793752,432803698,1622042729,3395226356,254594415"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,mobilità,subway_entrance,0,0,0,45,"2617655139,1621378602,1621378600,1621378601,1213993997,1213994125,1213994014,3253332073,3431326297,3431314079,3431314078,10235736538,3431314077,3431314076,3431314075,10235736525,1367855910,1839686581,1367855907,1367855911,1367855914,3431314080,2299299617,2299299618,3283630305,1367855920,1026285948,1026285957,1026285955,1026285950,1367855922,3253332072,1622042886,3283904468,1622042919,3431326298,5020207823,5020207824,1262284319,10260242427,10260242426,1262284354,2014746582,1262284353,10260242428"
