struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Appartamenti ex MOI,45.0303195,7.6554931,sanità,healthcare,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,sanità,pharmacy,0,2,12,50,"3452687789,4475300161,2592486338,3437215229,4162647177,4736151640,2594807829,7312488481,705908248,4735017456,775369478,705825975,705825976,2579185461,1856039554,705825977,3143648124,2594328572,7379956054,7380019165,7388521490,3307937663,7312510832,7312510831,3364638869,7379862303,4735763253,630513701,2591701921,2592486407,4735023855,2592486589,3442739971,10246779442,7310631667,7536790841,4735765176,7379841664,2048316031,4735801227,6649834586,12703506925,7392300898,4735799619,4735803897,7310501808,4735016415,4735021763,2592486643,7310501806"
Appartamenti ex MOI,45.0303195,7.6554931,sanità,dentist,0,0,0,4,"9235444636,10245051371,9254763669,10751445003"
Appartamenti ex MOI,45.0303195,7.6554931,sanità,veterinary,0,0,2,4,"3147953784,8071508324,10698741095,8518082749"
Appartamenti ex MOI,45.0303195,7.6554931,sanità,optician,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,sanità,medical_supply,0,0,1,5,"9209993598,11455411714,12867088801,12752031502,3957940798"
Appartamenti ex MOI,45.0303195,7.6554931,sanità,defibrillator,0,1,2,7,"6270977352,8761226017,12857873069,13271883201,13271881201,12599100593,13271881701"
Appartamenti ex MOI,45.0303195,7.6554931,sanità,hospital,0,0,0,7,"305681406,3538127652,305681074,3538149953,3070468685,149116211,1196653949"
Appartamenti ex MOI,45.0303195,7.6554931,sanità,clinic,0,0,0,6,"3896547668,4086300425,4086281841,1266944688,10769159379,10769197381"
Appartamenti ex MOI,45.0303195,7.6554931,sanità,doctors,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,station,0,1,3,6,"6257614746,2043486370,6257614747,4076608590,1621378603,3253332071"
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,subway_entrance,0,0,8,18,"9602964649,9602964648,9602964647,12820944789,12820944790,9603056245,12820944779,9603056246,1213993854,1213993797,1213993844,3431330484,3431330485,3431330483,2617655139,1621378602,1621378600,1621378601"
Appartamenti ex MOI,45.0303195,7.6554931,mobilità,tram_stop,0,0,7,45,"1448713106,940354534,940354571,940354544,945383316,1448713132,1448713139,1512819364,945383196,1199003159,945383156,940354539,940354560,940354523,945383329,945383310,945383172,945383299,940354551,940354572,1270298546,940354552,945016947,945383355,945383348,945383185,941491600,940354527,941491747,941491722,941491583,941491848,941491526,945383261,945383182,945383213,945383294,945383236,945383225,941491790,941491681,941491813,941491908,941491761,941491518"
