Struttura,Indirizzo,Lat,Lon
Casa di Riposo RSA Crocetta,Via Gian Domenico Cassini 14 - 10129 Torino,45.05760710,7.66364060
Casa di Riposo RSA Massimo D’Azeglio,Via Carlo Marochetti 11 - 10126 Torino,45.04492670,7.67892450
Residenza Il Valentino (RSA),Via Saluzzo 50 - 10125 Torino,45.05589040,7.67773890
Casa di Riposo RSA Chiabrera34,Via Gabriele Chiabrera 34 - 10126 Torino,45.04480220,7.67957480
Casa di Riposo RSA Servais,Via Giovanni Servais 125 - 10146 Torino,45.08376590,7.62644710
Residenza Richelmy,Via San Donato 97 - 10144 Torino,45.08307210,7.65751230
Casa di Riposo RSA Mazzarello,Via Santa Maria Mazzarello 114 - 10142 Torino,45.06238180,7.62487370
Residenza Santa Rita,Via Ada Negri 1 - 10136 Torino,45.05129720,7.64500020
Residenza CIT Turin,Via Lorenzo Delleani 19 - 10141 Torino,45.06740670,7.63544690
Casa di Riposo San Vincenzo,Strada San Vincenzo 49 - 10131 Torino,45.04744560,7.71586480
RSA Le Terrazze,Corso Toscana 204 - 10151 Torino,45.10235050,7.63878870
Residence Ithaca - iSenior,Strada Antica di Collegno 168 - 10146 Torino,45.08249210,7.62173490
RSA La Trinité,Via Amerigo Vespucci 33 - 10129 Torino,45.05568140,7.66344500
Residenza Millenium,Corso Moncalieri 207 - 10133 Torino,45.04143040,7.68377200
Casa Famiglia Serena,Via Carlo Tenivelli 21 - 10137 Torino,45.08068870,7.66253650
Casa di Riposo San Gaetano,Lungo Dora Napoli 76 - 10152 Torino,45.08704060,7.67817630
Casa Futura - Residenza per Anziani,Corso Umbria 25 - 10144 Torino,45.08472200,7.66771760
Residenza Il Porto,Via Torre Pellice 25 - 10156 Torino,45.09759630,7.73593680
RSA Giardino degli Aironi,Via Rubens Fattorelli 101 - 10156 Torino,45.09466230,7.73375480
Senior Residence - RSA Servais,Via Giovanni Servais 80 - 10146 Torino,45.08422940,7.62878420
Senior House - Casa Famiglia,Corso Monte Grappa 58 - 10146 Torino,45.07946520,7.63775370
Residenza Valgioie / Centro Alzheimer,Via Valgioie 39 - 10146 Torino,45.07674270,7.63094160
Boarding Princess Felicita di Savoia,Via Principessa Felicita di Savoia 8/11 - 10131 Torino,45.05734300,7.69937230
Villa Primule,Via delle Primule 7 - 10151 Torino,45.10141430,7.63033830
