Struttura,Indirizzo,Lat,Lon
Appartamenti ex MOI,"Via Giordano Bruno 201, 10134 Torino",45.03031950,7.65549310
Appartamenti Fondazione Saracco,"Via Giotto 51, 10126 Torino",45.04260350,7.67404230
Appartamenti Residenza Universitaria Farini,"Corso Farini 32, 10153 Torino",45.07293250,7.70182000
Appartamenti Turati,"Corso Filippo Turati 6, 10128 Torino",45.05216900,7.66912170
Appartamento Madama Cristina,"Corso Raffaello 20, 10128 Torino",45.05126010,7.67872320
Residenza universitaria Alexandra,"Lungo Dora Napoli 14, 10152 Torino",45.08235350,7.68549590
Residenza universitaria Borsellino,"Via Paolo Borsellino 42, 10138 Torino",45.06612300,7.65713760
Residenza universitaria Campus SanPaolo,"Via Caraglio 97, 10141 Torino",45.05889790,7.64243120
Residenza universitaria Cappel Verde,"Via Cappel Verde 5, 10122 Torino",45.07277360,7.68344490
Residenza universitaria Carlo Mollino,"Corso Peschiera 90, 10138 Torino",45.06417460,7.65082460
Residenza universitaria Cavour,"Piazza Cavour 5, 10123 Torino",45.06248070,7.69006010
Residenza universitaria Cercenasco (chiusa per lavori),"Via Cercenasco 17, 10135 Torino",45.02329760,7.64188750
Residenza universitaria Codegone,"Via Paolo Borsellino 38, 10138 Torino",45.06730570,7.65572730
Residenza universitaria CStudio,"Via Ludovico Ariosto 9, 10152 Torino",45.07482230,7.60188410
Residenza universitaria CXTURIN | MARCONI,"Via Belfiore 23, 10125 Torino",45.05541060,7.67897680
Residenza universitaria CXTURIN | VANCHIGLIA,"Lungo Po Machiavelli 37, 10153 Torino",45.06802860,7.70511150
Residenza universitaria Duca,"Corso Duca degli Abruzzi 48, 10129 Torino",45.05889300,7.65984670
Residenza universitaria Giulia di Barolo,"Via Giuseppe Verdi 26/G, 10124 Torino",45.06726890,7.69519800
Residenza Universitaria Lingotto,"Via Nizza 230, 10126 Torino",45.03303580,7.66596450
Residenza universitaria Olimpia,"Lungo Dora Siena 104, 10153 Torino",45.07462550,7.70219710
Residenza universitaria Palazzo degli Stemmi,"Via Montebello 1, 10124 Torino",45.06755740,7.69166740
Residenza universitaria Paoli,"Via Rosario di Santa Fè 18, 10134 Torino",45.052169,7.6691217
Residenza universitaria San Liborio,"Via San Domenico 10, 10122 Torino",45.07464200,7.68060630
Residenza universitaria Verdi,"Via Giuseppe Verdi 15, 10124 Torino",45.06916580,7.69055790
Collegio Einaudi - Crocetta,"Corso Lione 24, 10141 Torino",45.05919720,7.65584180
Collegio Einaudi - Mole Antonelliana,"Via delle Rosine 3, 10123 Torino",45.06531220,7.69160980
Collegio Einaudi - Po,"Via Maria Vittoria 3, 10123 Torino",45.06824880,7.68363860
Collegio Einaudi - San Paolo,"Via Bobbio 39, 10123 Torino",45.05776730,7.65535730
Collegio Einaudi - Valentino,"Via Galliari 30, 10125 Torino",45.05839820,7.68578360
