Consumi di energia;;;Campo XML;CostoVettore
Energia elettrica da rete; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/energiaElettricRete/consumoAnnuo;0,25
Gas naturale; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/gasNaturale/consumoAnnuo;0,87
GPL; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/gpl/consumoAnnuo;1,63
Carbone; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/carbone/consumoAnnuo;0,14
Gasolio; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/gasolio/consumoAnnuo;1,7
Olio combustibile; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/olioCombustibile/consumoAnnuo;1,07
Biomasse solide; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/biomasseSolide/consumoAnnuo;0,25
Biomasse liquide; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/biomasseLiquide/consumoAnnuo;1,63
Biomasse gassose; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/biomasseGassose/consumoAnnuo;0,21
Solare fotovoltaico; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/solareFotovoltaico/consumoAnnuo;0
Solare termico; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/solareTermico/consumoAnnuo;0
Eolico; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/eolico/consumoAnnuo;0
Teleriscaldamento; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/teleriscaldamento/consumoAnnuo;0,09
Teleraffrescamento; = Campo XML (colonna E) * CostoVettore (colonna F);€;/ape2015/prestazioneImpianti/teleraffrescamento/consumoAnnuo;0,09
Costi;;;;
Energia;= sommatoria CampoXML * CostoVettore;€/anno;;
;;;;
;;;;
;;;;
;;;;
